"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"E1","SOURCE_EUI","Reg",1,"meanCent",249,6,6,0.162,0.145,1907.432,43.674,32.482,0.687,76.273,19.198,61.487
"E1","SOURCE_EUI","Reg_AIC",1,"meanCent",249,5,5,0.148,0.134,1912.365,43.731,33.036,0.73,76.373,19.223,61.567
"E1","SOURCE_ENERGY","Reg",1,"meanCent",249,6,6,0.714,0.708,1924859795642.54,1387393.165,658508.238,0.832,110.9,7.303,95.402
"E1","SOURCE_ENERGY","Reg_AIC",1,"meanCent",249,6,6,0.714,0.708,1924859795642.54,1387393.165,658508.238,0.832,110.9,7.303,95.402
"E2","SOURCE_EUI","Reg_Int",2,"meanCent",249,16,16,0.203,0.151,1808.331,42.524,31.776,0.667,74.265,18.693,59.868
"E2","SOURCE_EUI","Reg_AIC_Int",2,"meanCent",249,12,12,0.205,0.168,1782.57,42.22,31.983,0.698,73.734,18.559,59.44
"E2","SOURCE_ENERGY","Reg_Int",2,"meanCent",249,16,16,0.806,0.793,1629285797468.21,1276434.8,575211.943,0.691,102.031,6.719,87.772
"E2","SOURCE_ENERGY","Reg_AIC_Int",2,"meanCent",249,8,8,0.811,0.805,1575603893106.52,1255230.614,618061.386,0.78,100.336,6.607,86.314
"E2","SOURCE_EUI","Reg_Int",3,"meanCent",249,26,26,0.228,0.142,1743.865,41.76,31.191,0.655,72.93,18.357,58.792
"E2","SOURCE_EUI","Reg_AIC_Int",3,"meanCent",249,18,18,0.231,0.175,1710.321,41.356,31.35,0.68,72.225,18.179,58.223
"E2","SOURCE_ENERGY","Reg_Int",3,"meanCent",249,26,26,0.818,0.797,1551239977425.97,1245487.847,566291.192,0.672,99.557,6.556,85.644
"E2","SOURCE_ENERGY","Reg_AIC_Int",3,"meanCent",249,18,18,0.808,0.793,1378490926014.58,1174091.532,622152.231,0.913,93.85,6.18,80.735
"E2","SOURCE_EUI","Reg_Int",4,"meanCent",249,31,31,0.235,0.13,1717.705,41.445,30.869,0.649,72.38,18.218,58.349
"E2","SOURCE_EUI","Reg_AIC_Int",4,"meanCent",249,18,18,0.231,0.175,1710.321,41.356,31.35,0.68,72.225,18.179,58.223
"E2","SOURCE_ENERGY","Reg_Int",4,"meanCent",249,31,31,0.821,0.797,1521525808178.92,1233501.442,558468.811,0.653,98.599,6.493,84.82
"E2","SOURCE_ENERGY","Reg_AIC_Int",4,"meanCent",249,20,20,0.803,0.787,1339280399538.35,1157272.828,649484.643,1.026,92.506,6.092,79.578
"E2","SOURCE_EUI","Reg_Int",5,"meanCent",249,32,32,0.239,0.131,1708.83,41.338,30.761,0.65,72.194,18.171,58.198
"E2","SOURCE_EUI","Reg_AIC_Int",5,"meanCent",249,18,18,0.231,0.175,1710.321,41.356,31.35,0.68,72.225,18.179,58.223
"E2","SOURCE_ENERGY","Reg_Int",5,"meanCent",249,32,32,0.822,0.796,1523798839398.19,1234422.472,558680.343,0.656,98.672,6.498,84.883
"E2","SOURCE_ENERGY","Reg_AIC_Int",5,"meanCent",249,20,20,0.803,0.787,1339280399538.35,1157272.828,649484.643,1.026,92.506,6.092,79.578
"E3b","SOURCE_EUI","xgboost_default",2,"meanCent",249,5,5,0.871,0.869,447.144,21.146,14.393,0.289,36.93,9.295,29.77
"E3b","SOURCE_EUI","xgboost_default",3,"meanCent",249,5,5,0.983,0.982,128.223,11.324,6.206,0.122,19.776,4.978,15.943
"E3b","SOURCE_EUI","xgboost_random",1,"meanCent",249,5,5,0.997,0.997,44.162,6.645,2.995,0.057,11.605,2.921,9.355
"E3b","SOURCE_EUI","xgboost_grid",2,"meanCent",249,5,5,0.362,0.351,1368.18,36.989,27.978,0.569,64.598,16.26,52.075
"E3b","SOURCE_EUI","xgboost_grid",3,"meanCent",249,5,5,0.645,0.639,839.176,28.969,20.517,0.405,50.592,12.734,40.784
"E3b","SOURCE_EUI","xgboost_adaptive",1,"meanCent",249,5,5,0.272,0.26,1495.949,38.678,28.847,0.584,67.548,17.002,54.453
"E3b","SOURCE_ENERGY","xgboost_default",2,"meanCent",249,5,5,0.978,0.978,189801899772.023,435662.599,234114.616,0.372,34.824,2.293,29.958
"E3b","SOURCE_ENERGY","xgboost_default",3,"meanCent",249,5,5,0.996,0.996,84848397994.563,291287.483,105489.107,0.181,23.284,1.533,20.03
"E3b","SOURCE_ENERGY","xgboost_random",1,"meanCent",249,5,5,1,1,1.259,1.122,0.532,0,0,0,0
"E3b","SOURCE_ENERGY","xgboost_grid",2,"meanCent",249,4,4,0.726,0.722,1543044707797.3,1242193.507,642406.9,0.956,99.294,6.539,85.418
"E3b","SOURCE_ENERGY","xgboost_grid",3,"meanCent",249,5,5,0.897,0.895,545682763783.41,738703.434,440573.626,0.809,59.048,3.888,50.796
"E3b","SOURCE_ENERGY","xgboost_adaptive",1,"meanCent",249,5,5,1,1,7458.435,86.362,49.399,0,0.007,0,0.006
