Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2016,148481,1154 W LUNT,7011-7013 N SHERIDAN,60626,ROGERS PARK,Multifamily Housing,51959,1920,1,,432924.8,5779772,,,,119.6,143,130.7,153.3,386.8,7.4,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
2016,148504,South Sauganash Condo Assoc (6000-6038 N. Cicero Ave.),6000 N. Cicero Ave,60646,FOREST GLEN,Multifamily Housing,225000,2003,1,94,1738451.5,14513051,,,,72.2,92,74.7,94.1,1091.3,4.9,41.99946023,-87.77119606,"(41.99946023, -87.77119606)"
2016,148673,Teresa Roldan Apartment on Paseo Boricua,2501-2511 W Division,60622,WEST TOWN,Multifamily Housing,52240,2005,1,,1750234.9,3136362.6,,,,93.5,166.8,101.5,175.2,482.6,9.2,41.90225377,-87.68447845,"(41.90225377, -87.68447845)"
2016,149001,Alden Wentworth Rehabilitation & Health Care Center,201 W 69th Street,60621,GREATER GRAND CROSSING,Senior Care Community,89813,1976,1,2,4409945.2,14792982.6,,,,213.8,327.1,231.8,343.8,1598.6,17.8,41.7761313,-87.64068948,"(41.7761313, -87.64068948)"
2016,149143,The Residences at 950 West Monroe,950 W Monroe St,60607,NEAR WEST SIDE,Multifamily Housing,123391,2005,1,48,4174278.3,5481123.2,,,,78.3,152.9,82,156,1060.5,8.6,41.87399385,-87.651678,"(41.87399385, -87.651678)"
2016,149732,State Place Center (1601 S. State St.),1601 S State Street,60616,NEAR SOUTH SIDE,Multifamily Housing,64600,2001,1,74,1570605,2537503.3,,,,63.6,117.6,66.1,118.3,424.3,6.6,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2016,150175,The 1355 West Washington Boulevard Condominium Association,1355 W. Washington Blvd.,60607,NEAR WEST SIDE,Multifamily Housing,73542,2013,1,85,1575484.2,2229079,,,,51.7,99.1,51.4,98.1,408.8,5.6,41.87399385,-87.651678,"(41.87399385, -87.651678)"
2016,150282,The Royalle Condominium Association,744 N. Clark St.,60654,NEAR NORTH SIDE,Multifamily Housing,77800,2003,1,25,2531144.4,3569637.7,,,,78.4,150.3,81.8,153.7,656.1,8.4,41.89198218,-87.63699623,"(41.89198218, -87.63699623)"
2016,150324,201 W Grand Ave,201 W Grand Ave/516 N. Wells,60654,NEAR NORTH SIDE,Multifamily Housing,96000,2003,1,77,2727337.8,4224982.4,,,,72.4,135.4,76.2,137.4,727.1,7.6,41.89198218,-87.63699623,"(41.89198218, -87.63699623)"
2016,151257,2758-2768 N. Milwaukee,2758-2768 N. Milwaukee,60647,LOGAN SQUARE,Multifamily Housing,71000,1925,3,89,1585245.9,998400.6,,,,36.4,84.9,36.9,83.8,345.2,4.9,41.92075046,-87.70152825,"(41.92075046, -87.70152825)"
2016,152378,CHP_DRES4901 (22116),4901 S DREXEL BLVD,60615,KENWOOD,Multifamily Housing,56636,1916,1,100,316197.2,2366894.9,,,,47.4,61.4,48.7,63.4,184,3.2,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
2016,156350,The Silversmith Hotel & Suites,10 South Wabash Avenue,60603,LOOP,Hotel,135000,2007,1,30,8345380.1,5834000.1,,,,105,239.5,105.3,240.2,1848.1,13.7,41.88147936,-87.62619963,"(41.88147936, -87.62619963)"
