Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2014,157767,Roosevelt Hi-CPS,3436 W WILSON AVE,60625,ALBANY PARK,K-12 School,319900,1927,1,71,6889272,18731796,,,,80,129,75,122,2379,7.44,41.96501325,-87.71451268,"(41.96501325, -87.71451268)"
2014,100256,Curie Metrop-CPS,4975 S Archer,60632,ARCHER HEIGHTS,K-12 School,447330,1990,1,19,35792767,7180231,,,,96,268,93,261,7573,16.93,41.802759,-87.722671,"(41.802759, -87.722671)"
2014,101551,METROPOLITIAN PIER AND EXPOSITION AUTHORITY,301 Cermak Road,60616,ARMOUR SQUARE,Convention Center,9245333,1971,8,,485542954,344178866,,,,90,204,86,200,115833,12.53,41.85284,-87.634931,"(41.85284, -87.634931)"
2014,100396,St. Rita of Cascia High School,7740 South Western Avenue,60620,ASHBURN,K-12 School,250000,1960,1,68,6027551,15042857,,,,84,139,80,135,2010,8.04,41.7520028,-87.68463714,"(41.7520028, -87.68463714)"
2014,250052,Steinmetz Ac-CPS,3030 N MOBILE AVE,60634,BELMONT CRAGIN,K-12 School,323400,1934,1,66,8184634,19187703,,,,85,142,80,136,2664,8.24,41.93560335,-87.7843396,"(41.93560335, -87.7843396)"
2014,168174,Kelly High S-CPS,4136 S California Ave,60632,BRIGHTON PARK,K-12 School,298432,1928,1,54,8949806,17533370,,,,89,156,79,146,2729,9.15,41.818909,-87.694567,"(41.818909, -87.694567)"
2014,102532,Advocate Trinity Hospital,2320 E. 93rd. Street,60617,CALUMET HEIGHTS,Hospital (General Medical & Surgical),369087,1960,1,57,31138936,60536647,,,,248,437,245,433,9472,25.66,41.72673518,-87.56695195,"(41.72673518, -87.56695195)"
2014,250051,Simeon Caree-CPS,8235 S VINCENNES AVE,60620,CHATHAM,K-12 School,284691,2003,1,19,13609687,21476024,,,,123,229,117,222,3875,13.61,41.744236,-87.635863,"(41.744236, -87.635863)"
2014,112188,Dunbar Vocat-CPS,3000 S King Dr,60616,DOUGLAS,K-12 School,319937,1955,1,15,5044007,26713862,,,,99,137,97,135,2432,7.6,41.83978929,-87.61953177,"(41.83978929, -87.61953177)"
2014,111290,IIT Research Tower,10 West 35th Street,60616,DOUGLAS,College/University,392894,1964,1,,19183561,623800,,,,50,155,,,3887,9.89,41.83139755,-87.62723022,"(41.83139755, -87.62723022)"
2014,101492,Wright College,4300 North Narragansett,60634,DUNNING,College/University,544380,1993,4,,19210710,,,,,35,111,35,111,3860,7.09,41.95813043,-87.78958012,"(41.95813043, -87.78958012)"
2014,102409,Senn Achieve-CPS,5900 N GLENWOOD AVE,60660,EDGEWATER,K-12 School,346140,1912,1,46,12902451,24971056,,,,109,193,104,187,3919,11.32,41.98901511,-87.66668203,"(41.98901511, -87.66668203)"
2014,250004,Kennedy-King College,6301 South Halsted,60621,ENGLEWOOD,College/University,496817,2007,6,,38312563,46358763,,,,170,340,167,336,10160,20.45,41.779703,-87.644751,"(41.779703, -87.644751)"
2014,250048,Kennedy High-CPS,6325 W 56th St,60638,GARFIELD RIDGE,K-12 School,358364,1957,1,66,9845145,12451423,,,,62,123,60,120,2639,7.37,41.79020209,-87.77942169,"(41.79020209, -87.77942169)"
2014,250138,Provident Hospital,500 E. 51st St.,60615,GRAND BOULEVARD,Hospital (General Medical & Surgical),373995,1981,2,1,39238375,77699964,,,,313,548,302,535,12011,32.11,41.802169,-87.613988,"(41.802169, -87.613988)"
2014,250124,Albert Merritt Billings,950 East 59th St.,60637,HYDE PARK,Office,488322,1927,1,83,19456661,,18101040,,,77,170,74,166.3,5111,10.47,41.787764,-87.602285,"(41.787764, -87.602285)"
2014,250127,Bernard Mitchell Hospital,5815 S. Maryland Av.,60637,HYDE PARK,Hospital (General Medical & Surgical),430772,1983,1,12,47458293,,60464165,,,251,515,251,515,13550,31.45,41.789224,-87.604896,"(41.789224, -87.604896)"
2014,250128,CCD,5700 S. Maryland Av.,60637,HYDE PARK,Hospital (General Medical & Surgical),1205371,2013,1,16,114832771,,163124280,,,231,462,227,458,33903,28.13,41.7910213,-87.60552924,"(41.7910213, -87.60552924)"
2014,250125,Comer Children's Hospital,5721 S. Maryland Ave.,60637,HYDE PARK,Hospital (General Medical & Surgical),252204,2006,1,3,37006313,,45288420,,,326,677,326,677,10442,41.4,41.79022382,-87.60461196,"(41.79022382, -87.60461196)"
2014,250126,DCAM,5758 S. Maryland Ave.,60637,HYDE PARK,Ambulatory Surgical Center,538062,1996,1,,60586645,,50494257,,,206,467,206,467,15525,28.85,41.79021756,-87.60550798,"(41.79021756, -87.60550798)"
2014,110848,Gordon Center for Integrative Science (GCIS),929 East 57th Street,60637,HYDE PARK,Laboratory,479503,2005,1,,89021468,,144812352,,,488,946,464,918,27501,57.35,41.791333,-87.602895,"(41.791333, -87.602895)"
2014,102455,Harper Center (Booth School),5807 South Woodlawn Ave.,60637,HYDE PARK,College/University,419312,2004,1,,25532624,885000,24287151,,,121,263,118,260,6790,16.19,41.7891404,-87.59555249,"(41.7891404, -87.59555249)"
2014,158868,KCBD,900 E. 57th St.,60637,HYDE PARK,Laboratory,376735,2009,1,,65743815,,119256719,,,491,929,481,916,21127,56.08,41.79207324,-87.60337358,"(41.79207324, -87.60337358)"
2014,102460,Museum of Science and Industry,5700 South Lake Shore Drive,60637,HYDE PARK,Museum,1211750,1893,1,,42942145,31928824,,,,62,139,58,135,10297,8.5,41.79055467,-87.58295123,"(41.79055467, -87.58295123)"
2014,102452,Regenstein Library,1100 East 57th Street,60637,HYDE PARK,Library,575597,1971,1,,23747650,,46454722,25201448,,166,270,166,270,9184,15.96,41.79221307,-87.59994981,"(41.79221307, -87.59994981)"
2014,102309,Schurz High-CPS,3601 N MILWAUKEE AVE,60641,IRVING PARK,K-12 School,454800,1910,1,80,12030668,28114489,,,,88,148,83,142,3910,8.6,41.94750755,-87.735506,"(41.94750755, -87.735506)"
2014,106819,Kenwood Acad-CPS,5015 S Blackstone Ave,60615,KENWOOD,K-12 School,297418,1969,1,85,9850591,,,,,33,104,33,104,1979,6.65,41.803961,-87.590479,"(41.803961, -87.590479)"
2014,102285,Advocate Illinois Masonic Medical Center,836 W. Wellington Avenue,60657,LAKE VIEW,Hospital (General Medical & Surgical),1143379,2004,15,89,75466070,126097807,,,,176,323,172,317,21860,19.12,41.93678761,-87.65090588,"(41.93678761, -87.65090588)"
2014,102365,Lake View Hi-CPS,4015 N Ashland Ave,60613,LAKE VIEW,K-12 School,266099,1898,1,85,5222793,12423369,,,,66,111,60,104,1709,6.42,41.95525436,-87.66860456,"(41.95525436, -87.66860456)"
2014,102283,Presence St Joseph Hospital - Chicago,2900 N Lake Shore Drive,60657,LAKE VIEW,Hospital (General Medical & Surgical),681807,1960,2,36,62963376,100128500,,,,239,444,235,439,17968,26.35,41.93498449,-87.63728308,"(41.93498449, -87.63728308)"
2014,167562,Lincoln Park-CPS,2016 N Orchard,60614,LINCOLN PARK,K-12 School,269474,1901,1,63,6449656,17111495,,,,87,142,80,133,2205,8.18,41.918361,-87.646171,"(41.918361, -87.646171)"
2014,103600,10 South LaSalle Street,10 South LaSalle Street,60603,LOOP,Office,871962,1986,1,67,59096795,774949,,,,69,214,66,204,11915,13.66,41.88160573,-87.6327278,"(41.88160573, -87.6327278)"
2014,101770,10/30 South Wacker,10 South Wacker Drive,60606,LOOP,Office,2662457,1983,1,85,166452270,1605600,,,40020,63,197,63,197,33531,12.59,41.8816073,-87.63751717,"(41.8816073, -87.63751717)"
2014,101862,101 North Wacker,101 North Wacker Drive,60606,LOOP,Office,663093,1980,1,80,52535110,,,,,79,249,77,241,10555,15.92,41.88356984,-87.6364138,"(41.88356984, -87.6364138)"
2014,102160,"108 North State Street (Chicago) Owner, LLC",108 N. State Street,60602,LOOP,Enclosed Mall,275373,2009,1,,24036278,,,,,87,274,84,262,4829,17.54,41.88349,-87.62793,"(41.88349, -87.62793)"
2014,101707,111 East Wacker Drive,111 East Wacker Drive,60601,LOOP,Office,1281847,1969,1,73,57641168,60587097,,,,92,191,89,187,14799,11.54,41.8876921,-87.62356505,"(41.8876921, -87.62356505)"
2014,103696,111 South Wacker,111 South Wacker,60606,LOOP,Office,1248730,2004,1,78,95260754,,,,,76,240,74,232,19139,15.33,41.880335,-87.636667,"(41.880335, -87.636667)"
2014,101856,111 West Jackson,111 West Jackson Blvd,60604-3589,LOOP,Office,620454,1962,1,76,27102604,36050637,,13035197,,123,219,116,212,8047,12.97,41.87784862,-87.63130907,"(41.87784862, -87.63130907)"
2014,250001,120 North LaSalle,120 North LaSalle Street,60602,LOOP,Office,477123,1991,1,77,27764608,,,,,58,183,56,174,5578,11.69,41.88374717,-87.63315639,"(41.88374717, -87.63315639)"
2014,103601,120 South LaSalle Street Building,120 South LaSalle Street,60603,LOOP,Office,760892,1929,1,91,21194744,22781363,,10670916,,72,133,69,130,6031,7.93,41.88035359,-87.63280586,"(41.88035359, -87.63280586)"
2014,101841,122 Property LLC,122 S. Michigan Ave.,60604,LOOP,Office,512369,1910,1,58,23790040,39696042,,8351160,,140,243,134,236,7328,14.3,41.87991058,-87.62493152,"(41.87991058, -87.62493152)"
2014,101871,123 N Wacker,123 N Wacker,60606,LOOP,Office,587815,1986,1,77,37238636,,,,,63,199,60,190,7482,12.73,41.88411984,-87.63649725,"(41.88411984, -87.63649725)"
2014,101867,125 South Wacker,125 S Wacker Drive,60606,LOOP,Office,648309,1974,1,63,43907868,,,,,68,213,68,213,8822,13.61,41.8797333,-87.63641137,"(41.8797333, -87.63641137)"
2014,101720,131 S. Dearborn 3,131 S. Dearborn,60603,LOOP,Office,1652550,2002,1,77,160426951,62500,,,,97,305,96,302,32235,19.51,41.87980869,-87.62854911,"(41.87980869, -87.62854911)"
2014,103647,135 S LaSalle Property LLC,135 S. LaSalle Street,60603,LOOP,Office,1547120,1934,1,68,74409271,93728074,,27209940,,126,232,122,228,21362,13.81,41.87977276,-87.63155683,"(41.87977276, -87.63155683)"
2014,101813,150 N. Michigan Ave,150 N. Michigan Ave,60601,LOOP,Office,733118,1984,1,73,45465890,,,,,62,195,59,185,9135,12.46,41.88483521,-87.62496769,"(41.88483521, -87.62496769)"
2014,101972,150 North Wacker Drive,150 North Wacker Drive,60606,LOOP,Office,265117,1970,1,73,11708148,21696000,,,,126,225,120,218,3505,13.22,41.88476971,-87.63734502,"(41.88476971, -87.63734502)"
2014,160438,155 North Wacker,155 N. Wacker,60606,LOOP,Office,1334888,2009,1,80,81559800,,,35212189,,88,218,85,210,18242,13.67,41.884658,-87.636809,"(41.884658, -87.636809)"
2014,101745,161 North Clark,161 North Clark,60601,LOOP,Office,1200836,1992,1,81,81305742,,,,,68,213,68,213,16335,13.6,41.88490511,-87.6305179,"(41.88490511, -87.6305179)"
2014,101958,17 N. State LLC,17 N. State Street,60602,LOOP,Office,409072,1914,1,85,15055095,14135755,,,,71,152,66,147,3776,9.23,41.88270627,-87.62731812,"(41.88270627, -87.62731812)"
2014,101731,175 W. Jackson,175 W. Jackson,60604,LOOP,Office,1809140,1928,1,90,77678650,33398517,,45910864,,87,180,84,176,19800,10.94,41.87749352,-87.63319804,"(41.87749352, -87.63319804)"
2014,103643,180 North LaSalle,180 North LaSalle Street,60601,LOOP,Office,857412,1972,1,80,34885107,36531716,,18642430,,105,194,102,189,9932,11.58,41.88538772,-87.63289117,"(41.88538772, -87.63289117)"
2014,101766,181 West Madison,181 W Madison Street,60602,LOOP,Office,1082248,1990,1,73,75482516,,,,108054,70,219,70,219,15173,14.02,41.88158551,-87.63338486,"(41.88158551, -87.63338486)"
2014,103602,190 South LaSalle,190 South LaSalle,60603,LOOP,Office,882560,1985,1,78,63997553,,,,33120,73,228,70,220,12860,14.57,41.8797561,-87.63268685,"(41.8797561, -87.63268685)"
2014,101838,191 North Wacker,191 North Wacker Drive,60606,LOOP,Office,778325,2003,1,85,45974346,,,,,59,186,57,179,9237,11.87,41.88538256,-87.63643849,"(41.88538256, -87.63643849)"
2014,103739,20 North Clark Street - 2821,20 North Clark Street,60602,LOOP,Office,433246,1981,1,79,25172863,1542457,,,,62,186,59,178,5140,11.86,41.88230282,-87.63117675,"(41.88230282, -87.63117675)"
2014,101709,20 North Wacker Drive,20 North Wacker Drive,60606,LOOP,Office,1742899,1929,1,,64733556,73475903,,,,79,161,76,158,16908,9.7,41.88252633,-87.63747012,"(41.88252633, -87.63747012)"
2014,101987,20 S. Clark,20 S. Clark Street,60603,LOOP,Office,464592,1970,1,70,31569175,,,,,68,213,65,204,6343,13.65,41.88129971,-87.6311826,"(41.88129971, -87.6311826)"
2014,103644,200 North LaSalle,200 N LaSalle Ave,60601,LOOP,Office,698645,1984,1,47,59479178,,,,,85,267,85,267,11950,17.1,41.88607935,-87.63304163,"(41.88607935, -87.63304163)"
2014,101929,"200 S. Michigan, LLC",200 S. Michigan Ave.,60604,LOOP,Office,421232,1958,1,78,17227570,17140828,,9542928,,104,194,101,190,4875,11.57,41.87931324,-87.62491915,"(41.87931324, -87.62491915)"
2014,101799,200 South Wacker Property LLC,200 South Wacker Drive,60606,LOOP,Office,874000,1981,1,69,61968744,,,,,71,223,69,218,12450,14.25,41.87902474,-87.63734431,"(41.87902474, -87.63734431)"
2014,101846,200 West Adams St.,200 West Adams St.,60606,LOOP,Office,789024,1985,1,88,38408986,,,,,49,153,48,152,7717,9.78,41.87975177,-87.63414051,"(41.87975177, -87.63414051)"
2014,101878,200 West Jackson Boulevard Building,200 West Jackson Blvd.,60606,LOOP,Office,545162,1971,1,77,26798657,25865354,,9931908,,115,222,112,219,7282,13.36,41.87843672,-87.63410024,"(41.87843672, -87.63410024)"
2014,101789,200 West Madison,200 West Madison,60606,LOOP,Office,1001834,1982,1,72,67148501,,,,,67,211,64,200,13491,13.47,41.88234782,-87.6343649,"(41.88234782, -87.6343649)"
2014,101848,200 West Monroe,200 W. Monroe,60606,LOOP,Office,649265,1973,1,43,60188124,436393,,,,93,292,90,280,12116,18.66,41.8810266,-87.63432282,"(41.8810266, -87.63432282)"
2014,103645,203 North LaSalle,203 N LaSalle Street,60601,LOOP,Office,760086,1985,1,80,49831782,,,,,66,206,63,199,10012,13.17,41.88606221,-87.63169041,"(41.88606221, -87.63169041)"
2014,101988,205 W. Wacker,205 W Wacker Dr,60606,LOOP,Office,309652,1929,1,81,10646972,14245615,,,,80,156,75,149,2896,9.35,41.88638306,-87.63427616,"(41.88638306, -87.63427616)"
2014,103698,22 West Washington,22 West Washington Street,60602,LOOP,Office,471436,2008,1,54,56524966,,,,,110,377,110,377,11435,24.26,41.88356258,-87.62879915,"(41.88356258, -87.62879915)"
2014,103598,222 North LaSalle Street,222 North LaSalle Street,60601,LOOP,Office,1031459,1986,1,85,57521646,,,,31464,56,175,54,170,11559,11.21,41.88651518,-87.6332446,"(41.88651518, -87.6332446)"
2014,101891,224 South Michigan Avenue,224 South Michigan Avenue,60604,LOOP,Office,412504,1904,1,86,22104850,11252897,,,,81,197,75,190,5039,12.22,41.87862405,-87.62489066,"(41.87862405, -87.62489066)"
2014,101794,225 West Wacker,225 West Wacker Drive,60606,LOOP,Office,721992,1989,1,87,37073768,,,,,51,161,50,157,7449,10.32,41.88628574,-87.63508062,"(41.88628574, -87.63508062)"
2014,101907,225 West Washington,225 West Washington,60606,LOOP,Office,539705,1987,1,68,39067059,,,,,72,227,68,213,7849,14.54,41.88285621,-87.63499083,"(41.88285621, -87.63499083)"
2014,101835,230 W Monroe,230 W Monroe,60606,LOOP,Office,661535,1971,1,82,29466046,35313446,,,,98,196,,,7796,11.78,41.88100752,-87.63490659,"(41.88100752, -87.63490659)"
2014,101708,233 North Michigan Avenue,233 North Michigan Avenue,60601,LOOP,Office,1215747,1972,1,74,54294712,54345248,,,,89,187,86,184,13795,11.35,41.8869574,-87.62305507,"(41.8869574, -87.62305507)"
2014,101881,25 E Washington,25 East Washington Street,60602,LOOP,Office,488324,1914,1,94,17070966,,5550906,,,46,123,45,122,3798,7.78,41.8829176,-87.62666864,"(41.8829176, -87.62666864)"
2014,158405,250 South Wacker Drive,250 South Wacker Drive,60606,LOOP,Office,251826,1958,1,87,10671020,7617678,,,,73,165,69,161,2549,10.12,41.87843521,-87.63727562,"(41.87843521, -87.63727562)"
2014,103597,30 North LaSalle Street,30 North LaSalle Street,60602,LOOP,Office,1095104,1974,1,87,40942669,33580809,,,,68,150,,,10010,9.14,41.88284628,-87.63290243,"(41.88284628, -87.63290243)"
2014,101738,300 E Randolph,300 East Randolph,60601,LOOP,Office,2218838,2010,1,77,124794002,2559937,,61058975,36570,85,205,84,203,28430,12.81,41.88484639,-87.61989893,"(41.88484639, -87.61989893)"
2014,101868,300 South Wacker Property LLC,300 South Wacker Drive,60606,LOOP,Office,600713,1971,1,83,28250388,23260893,,,,86,188,80,181,6911,11.51,41.87767066,-87.6371323,"(41.87767066, -87.6371323)"
2014,107850,300 West Adams,300 West Adams,60606,LOOP,Office,289000,1926,1,69,11863981,25242443,,,,128,221,121,213,3724,12.89,41.87969438,-87.63568353,"(41.87969438, -87.63568353)"
2014,101797,303 E. Wacker,303 E. Wacker,60601,LOOP,Office,1015129,1979,1,90,65367130,59037,,,,65,202,62,196,13136,12.94,41.88729474,-87.62026142,"(41.88729474, -87.62026142)"
2014,101943,303 West Madison,303 West Madison,60606,LOOP,Office,345450,1987,1,67,26154611,,,,,76,238,73,228,5255,15.2,41.88155993,-87.63556015,"(41.88155993, -87.63556015)"
2014,101716,311 S. Wacker,311 South Wacker,60606,LOOP,Office,1433105,1990,1,71,103144555,,,,,72,226,70,218,20723,14.46,41.87745822,-87.63573828,"(41.87745822, -87.63573828)"
2014,101923,311 West Monroe,311 West Monroe,60606,LOOP,Office,411672,1969,1,21,42987208,51331336,,,,229,459,226,455,11363,27.6,41.88030523,-87.63570062,"(41.88030523, -87.63570062)"
2014,103743,33 N. Dearborn,33 N. Dearborn,60602,LOOP,Office,372137,1966,1,70,15168670,17670601,,6715224,,106,196,100,190,4340,11.66,41.88287054,-87.62903883,"(41.88287054, -87.62903883)"
2014,103641,33 North LaSalle Street,33 North LaSalle Street,60602,LOOP,Office,477171,1929,1,76,15112533,26999828,,1025160,,90,161,,,4524,9.48,41.88286478,-87.63205333,"(41.88286478, -87.63205333)"
2014,158184,33 West Monroe,33 W. Monroe Street,60603,LOOP,Office,1085869,1980,1,65,67547432,,,18343915,,79,212,76,203,14538,13.39,41.88038628,-87.62878581,"(41.88038628, -87.62878581)"
2014,101950,332 Property LLC,332 South Michigan Ave.,60604,LOOP,Office,529401,1910,1,,21716977,30585062,,,,99,190,95,186,5988,11.31,41.87724917,-87.6247034,"(41.87724917, -87.6247034)"
2014,101889,333 North Michigan,333 North Michigan Ave,60601,LOOP,Office,362756,1928,1,77,10824724,26288203,,,,102,170,98,165,3571,9.84,41.88778975,-87.62420778,"(41.88778975, -87.62420778)"
2014,101788,333 West Wacker,333 West Wacker Drive,60606,LOOP,Office,1012961,1982,1,80,58136624,,,,103222,58,180,58,180,11688,11.54,41.88609655,-87.63591682,"(41.88609655, -87.63591682)"
2014,250134,5098-Bank of America,231 S. LaSalle Street,60604,LOOP,Office,1129407,1924,1,85,46638287,33131693,,23340024,,91,181,89,179,,,41.878681,-87.632292,"(41.878681, -87.632292)"
2014,101876,55 E Jackson Blvd,55 E Jackson Blvd,60604,LOOP,Office,451233,1963,1,36,33178363,35651422,,,,153,314,147,308,8560,18.97,41.8780063,-87.62558458,"(41.8780063, -87.62558458)"
2014,101717,55 East Monroe,55 East Monroe Street,60603,LOOP,Office,1674462,1972,1,64,111793907,1063517,,43490499,,93,236,90,224,24809,14.82,41.88017573,-87.62564433,"(41.88017573, -87.62564433)"
2014,101791,55 West Monroe,55 West Monroe,60603,LOOP,Office,899237,1980,1,82,47301853,,,,,53,165,50,157,9504,10.57,41.88038865,-87.6298223,"(41.88038865, -87.6298223)"
2014,101718,70 W Madison,70 W. Madison St,60602,LOOP,Office,1567321,1981,1,72,105823828,1872277,,,,69,213,67,208,21361,13.63,41.88229695,-87.630198,"(41.88229695, -87.630198)"
2014,101735,71215A STATE STREET,101 and 111 North State Street E,60602,LOOP,Retail Store,1841736,1879,1,82,65197622,76795831,,,,77,155,73,151,17178,9.33,41.88386376,-87.62704852,"(41.88386376, -87.62704852)"
2014,101765,77 West Wacker Drive,77 W. Wacker Drive,60601,LOOP,Office,1153218,1992,1,83,64243388,,,,,56,175,53,167,12907,11.19,41.88651883,-87.630542,"(41.88651883, -87.630542)"
2014,101713,Aon Center,200 E. Randolph Street,60601,LOOP,Office,3193966,1972,1,84,117759311,106045324,,88093124,173880,98,178,95,176,33948,10.63,41.88529085,-87.62152084,"(41.88529085, -87.62152084)"
2014,101784,Auditorium Building,430 S. Michigan Ave,60605,LOOP,College/University,598474,1889,1,,24209133,14480848,,,,65,152,,,5633,9.41,41.87603287,-87.62519066,"(41.87603287, -87.62519066)"
2014,101827,Burnham Center,111 West Washington,60602,LOOP,Office,570760,1914,1,74,25665129,30306855,,,,98,197,94,192,6766,11.85,41.88285809,-87.631408,"(41.88285809, -87.631408)"
2014,103705,CentralOffic-CPS,125 S Clark St,60603,LOOP,Office,502000,1900,1,93,17041309,19300137,,,,72,147,70,144,4449,8.86,41.879992,-87.630764,"(41.879992, -87.630764)"
2014,158121,Chase Tower Chicago,10 S. Dearborn,60603,LOOP,Financial Office,2429909,1967,1,74,184219476,1991888,,1230948,,77,239,74,230,,,41.88163958,-87.63010692,"(41.88163958, -87.63010692)"
2014,103595,Chicago Board of Trade Building,141 W. Jackson Blvd.,60604,LOOP,Office,1573971,1930,1,65,141357318,,,62757738,,130,322,128,318,31708,20.15,41.87750025,-87.63227855,"(41.87750025, -87.63227855)"
2014,250115,City Hall,121 N. La Salle St.,60602,LOOP,Office,411500,1870,1,76,25482836,18930,,,,62,195,62,195,5121,12.44,41.88385328,-87.63167966,"(41.88385328, -87.63167966)"
2014,103611,Clark-Adams,105 W. Adams,60603,LOOP,Office,490273,1927,1,64,22359198,35944627,,,,119,220,114,214,6401,13.06,41.879395,-87.630986,"(41.879395, -87.630986)"
2014,103770,CME Group Inc,333 South LaSalle,60604,LOOP,Financial Office,261217,1997,1,3,41456517,,,26638909,,261,600,257,588,9733,37.26,41.877735,-87.631723,"(41.877735, -87.631723)"
2014,103692,CNA Building,333 S. Wabash,60685,LOOP,Office,1274198,1974,1,58,85319448,67417316,,,,120,266,116,262,20723,16.26,41.87740181,-87.62564302,"(41.87740181, -87.62564302)"
2014,101756,Cook County Building,118 N. Clark St.,60602,LOOP,Office,638592,1906,1,53,40908174,28393999,,,,109,248,109,248,9727,15.23,41.88385328,-87.63167966,"(41.88385328, -87.63167966)"
2014,101975,Daley Center,14 East Jackson Blvd.,60604,LOOP,College/University,371257,1930,1,,8803114,20741731,,6131688,,96,150,92,145,3194,8.6,41.87849557,-87.62724664,"(41.87849557, -87.62724664)"
2014,101562,DePaul Center,1 East Jackson Blvd.,60604,LOOP,College/University,701699,1910,1,,46435273,,,,,66,208,64,202,9329,13.3,41.87754201,-87.62723219,"(41.87754201, -87.62723219)"
2014,103651,Four40,440 South LaSalle,60605,LOOP,Office,1157744,1984,1,64,99215774,,,,,86,269,85,267,19934,17.22,41.87595944,-87.63219354,"(41.87595944, -87.63219354)"
2014,101954,Garland Building,111 N. Wabash Avenue,60602,LOOP,Office,259000,1914,1,44,16443882,20495721,,,,143,282,137,274,4392,16.96,41.88347296,-87.62574183,"(41.88347296, -87.62574183)"
2014,103699,George W Dunne Cook County Office Building,69 W. Washington Street,60602,LOOP,Office,822815,1965,1,89,32586296,34912279,,,,82,169,79,165,8401,10.21,41.88287346,-87.62989783,"(41.88287346, -87.62989783)"
2014,101980,Harold Washington College,30 East Lake Street,60601,LOOP,College/University,345300,1983,1,,18393372,127278001,,,,422,554,422,555,10456,30.28,41.88606565,-87.62685764,"(41.88606565, -87.62685764)"
2014,157964,HAROLD WASHINGTON LIBRARY,400 S. State St.,60605,LOOP,Library,756640,1970,1,,72412262,,,,,96,301,96,301,14549,19.23,41.8763213,-87.62821533,"(41.8763213, -87.62821533)"
2014,101755,Harris Bank Building,115 S. LaSalle Street,60603,LOOP,Office,1526102,1974,1,53,96188340,96243598,,,,126,264,123,261,24437,16.01,41.88031326,-87.63191186,"(41.88031326, -87.63191186)"
2014,101865,Hartford Plaza,150 South Wacker,60606,LOOP,Office,1281114,1971,1,84,70988503,52243346,,,,96,217,92,212,17037,13.3,41.87965675,-87.63746431,"(41.87965675, -87.63746431)"
2014,101798,HEADQUARTERS Q12380,225 W. RANDOLPH,60606,LOOP,Office,976496,1968,1,73,41596477,67457365,,,,112,206,107,201,11940,12.23,41.88411639,-87.63478478,"(41.88411639, -87.63478478)"
2014,101736,Hyatt Center,71 S. Wacker Drive,60606,LOOP,Office,1687710,2005,1,79,132535728,1044100,,,,79,247,77,240,26684,15.81,41.88099639,-87.63603964,"(41.88099639, -87.63603964)"
2014,101757,IL0000FC - CHICAGO FEDERAL CTR,219 S DEARBORN,60604,LOOP,Mixed Use Property,3177981,1973,1,90,87741252,113327886,,34628436,,74,135,72,133,,,41.87881863,-87.62895341,"(41.87881863, -87.62895341)"
2014,101560,IL0054ZZ - CLARK FEDERAL BLDG,536 S CLARK STREET,60605,LOOP,Office,689733,1912,1,70,31265077,37628163,,,,100,200,95,195,8280,12,41.87500832,-87.63122808,"(41.87500832, -87.63122808)"
2014,101559,IL0303ZZ - METCALFE FED BLDG,77 W JACKSON,60604,LOOP,Office,840365,1991,1,90,39400411,,,,,47,147,46,144,7916,9.42,41.87755536,-87.6304139,"(41.87755536, -87.6304139)"
2014,101961,Inland Steel Building,30 West Monroe,60603,LOOP,Office,300971,1958,1,68,13328456,22966478,,,,121,219,114,212,3898,12.95,41.88108964,-87.62858918,"(41.88108964, -87.62858918)"
2014,101742,James R Thompson Center,100 W. Randolph St.,60601,LOOP,Office,1200000,1985,1,44,84803793,56277851,,,,118,271,112,265,20027,16.69,41.88517287,-87.63173182,"(41.88517287, -87.63173182)"
2014,250046,Jones Colleg-CPS,600 S State St,60605,LOOP,K-12 School,253266,1968,1,5,14403553,9339938,,,,94,217,88,208,3390,13.38,41.874294,-87.627664,"(41.874294, -87.627664)"
2014,103639,LaSalle-Wacker Building,221 North LaSalle Street,60601,LOOP,Office,501342,1929,1,81,18430345,25567893,,9498237,,107,188,103,184,5562,11.09,41.88653309,-87.63199926,"(41.88653309, -87.63199926)"
2014,101760,Leo Burnett Building,35 W. Wacker Dr.,60601,LOOP,Office,1392096,1989,1,79,102578334,1687027,,,,75,233,74,230,20699,14.87,41.88642141,-87.62903061,"(41.88642141, -87.62903061)"
2014,103634,Lewis & O'Malley,25 E. Jackson Blvd.,60604,LOOP,College/University,380371,1928,1,,16119939,18287416,,,,91,184,87,180,4210,11.07,41.878202,-87.626867,"(41.878202, -87.626867)"
2014,101940,Mallers Building LLC,5 S. Wabash Ave.,60603,LOOP,Enclosed Mall,315000,1912,1,,13748941,14041471,,,,88,184,,,3508,11.14,41.88185833,-87.62566994,"(41.88185833, -87.62566994)"
2014,101919,Marquette Building,140 South Dearborn Street,60603,LOOP,Office,372265,1895,1,65,28121028,998634,,5260553,,92,254,89,244,5980,16.06,41.87977522,-87.62973114,"(41.87977522, -87.62973114)"
