"SQFT","WKHRS","NWKER_SQFT","PCTERMN_SQFT","CDD65_COOLP","IsBank","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
44500,40,1.888,5.618,7.319,"No",144.29,6420950.2,158.3
30500,168,3.279,2.623,6.743,"No",331.58,10113311.47,1879.456
52000,65,1.154,1.288,7.272,"No",95.75,4978792,336.402
64000,50,0.812,0.578,7.712,"Yes",117.97,7550394.95,226.828
4500,48,1.111,2.667,7.318,"Yes",218.25,982119.6,1807.463
3200,168,1.562,0.312,1.463,"No",38.38,122802.4,1868.403
37000,50,0.811,2.081,7.015,"No",26.35,974820,19.69
2000,60,2.5,3.5,4.286,"No",77.73,155452.85,1851.67
6300,40,1.905,2.222,6.656,"No",134.31,846168.4,2140.906
5300,45,2.264,1.698,7.633,"No",202.22,1071750.4,1807.463
20250,40,0.988,1.728,4.718,"No",119.48,2419422.25,583.627
37000,80,0.541,1.243,7.355,"No",162.01,5994472.4,308.206
6900,50,2.464,6.667,2.999,"No",128.34,885571.22,1130.475
5600,56,0.536,1.071,8.084,"No",152.48,853902,48.841
5000,80,2.4,4.4,3.816,"No",137.81,689029.95,1667.755
2000,40,4,3,7.349,"No",141.22,282436.37,1849.185
2400,38,1.667,2.5,7.509,"No",113.79,273101.85,1667.755
26000,45,0.769,1.769,6.714,"No",192.76,5011722.8,48.841
75000,66,3.2,4.4,7.418,"No",204.37,15327418.4,48.841
14750,168,0.881,1.288,4.552,"No",111.08,1638393.05,583.351
9000,75,1.333,1.222,6.549,"No",140.23,1262097.2,1655.242
32500,168,0.523,0.308,7.335,"No",69.9,2271654,482.285
11750,72,1.277,4.17,6.686,"Yes",198.73,2335083.1,1834.966
3050,50,1.639,2.951,7.618,"No",95.53,291376.4,788.005
14000,70,1.786,3.357,7.712,"No",104.77,1466792.25,1155.428
44000,85,2.432,1.955,7.538,"No",240.55,10584022.75,639.722
36500,50,3.233,5.342,7.554,"No",175.78,6416015.2,190.59
4000,40,2,2,7.335,"No",218.31,873236,1807.463
6700,40,1.791,3.881,5.425,"No",198.06,1326992.45,751.727
13500,168,3.704,6.667,6.553,"No",1115.67,15061500.23,55.969
2700,53,0.741,4.074,7.302,"Yes",104.97,283427.2,1807.463
1200,119,2.5,3.333,8.332,"No",373.74,448484.4,23.718
14000,45,1.071,1,7.465,"Yes",153.2,2144809.8,918.03
3000,40,2.667,3,5.136,"Yes",312.35,937038.9,1807.463
2700,50,4.815,5.926,4.7,"Yes",158.73,428573.6,1461.857
2500,40,0.8,2.8,6.505,"No",538.11,1345271.2,1879.456
32000,60,3.281,3.938,6.911,"No",161.3,5161566.39,276.953
98000,50,1.531,2.041,7.304,"No",279.88,27428396.2,170.027
68000,46,2.206,2.191,6.791,"No",139.82,9507608.78,1851.67
45000,50,2.222,2.844,5.25,"No",193.03,8686486.55,545.858
8000,40,2.875,3,4.794,"Yes",87.36,698848.15,1791.31
1250,70,0.8,3.2,2.517,"No",913.81,1142267.35,639.722
31000,84,2.097,2.71,7.26,"No",70.84,2195903.85,657.711
25000,168,3.6,5.44,7.828,"No",454.19,11354649.95,657.711
3100,40,0.968,1.613,3.88,"No",140.7,436179.8,1868.403
