"btype","exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"retail","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",179,69,93,0.77,0.627,4096.338,64.003,41.464,0.287,0,0,0
"retail","E2","SOURCE_ENERGY","RegInt",3,"meanCent",179,69,93,0.962,0.939,41526279726864.9,6444088.743,2508465.835,0.407,29.48,5.421,42.549
"retail","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",179,69,93,0.879,0.804,15483710644643260,124433559.158,14984352.235,0.49,0,0,0
"retail","E2","SOURCE_EUI","RegInt",4,"meanCent",179,84,163,0.884,0.782,3397.248,58.286,38.558,0.318,37.45,8.227,27.273
"retail","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",179,84,163,0.785,0.598,3601.661,60.014,38.656,0.273,0,0,0
"retail","E2","SOURCE_ENERGY","RegInt",4,"meanCent",179,84,163,0.968,0.94,38395037286892.6,6196372.914,2295504.684,0.384,28.347,5.213,40.913
"retail","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",179,84,163,0.897,0.807,2471339892743868,49712572.783,7903820.139,0.379,0,0,0
"retail","E2","SOURCE_EUI","RegInt",5,"meanCent",179,90,219,0.886,0.772,3132.525,55.969,36.851,0.308,35.962,7.9,26.189
"retail","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",179,90,219,0.792,0.584,3251.508,57.022,37.333,0.261,0,0,0
"retail","E2","SOURCE_ENERGY","RegInt",5,"meanCent",179,90,219,0.974,0.948,32196545412352.5,5674199.98,2020320.032,0.379,25.958,4.774,37.465
"retail","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",179,90,219,0.902,0.803,2065480640436532,45447559.235,7158927.07,0.355,0,0,0
"retail","E2","SOURCE_EUI","RegInt",6,"meanCent",179,91,247,0.886,0.769,3135.993,56,36.964,0.308,35.982,7.904,26.203
"retail","E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",179,91,247,0.792,0.579,3247.16,56.984,37.235,0.26,0,0,0
"retail","E2","SOURCE_ENERGY","RegInt",6,"meanCent",179,91,247,0.974,0.947,32223894252026.3,5676609.398,2021816.6,0.378,25.969,4.776,37.481
"retail","E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",179,91,247,0.902,0.801,2231965712133414,47243684.362,7260728.989,0.356,0,0,0
"retail","E2","SOURCE_EUI","RegInt",7,"meanCent",179,91,255,0.886,0.769,3135.993,56,36.964,0.308,35.982,7.904,26.203
"retail","E2","SOURCE_EUI","RegInt",7,"meanCent_logDV",179,91,255,0.792,0.579,3247.16,56.984,37.235,0.26,0,0,0
"retail","E2","SOURCE_ENERGY","RegInt",7,"meanCent",179,91,255,0.974,0.947,32223894252026.3,5676609.398,2021816.6,0.378,25.969,4.776,37.481
"retail","E2","SOURCE_ENERGY","RegInt",7,"meanCent_logDV",179,91,255,0.902,0.801,2231965712133414,47243684.362,7260728.989,0.356,0,0,0
"retail","E2","SOURCE_EUI","RegInt",8,"meanCent",179,91,256,0.886,0.769,3135.993,56,36.964,0.308,35.982,7.904,26.203
"retail","E2","SOURCE_EUI","RegInt",8,"meanCent_logDV",179,91,256,0.792,0.579,3247.16,56.984,37.235,0.26,0,0,0
"retail","E2","SOURCE_ENERGY","RegInt",8,"meanCent",179,91,256,0.974,0.947,32223894252026.3,5676609.398,2021816.6,0.378,25.969,4.776,37.481
"retail","E2","SOURCE_ENERGY","RegInt",8,"meanCent_logDV",179,91,256,0.902,0.801,2231965712133414,47243684.362,7260728.989,0.356,0,0,0
"retail","E3a","SOURCE_EUI","rpart",1,"meanCent",179,8,8,0.701,0.688,8506.904,92.233,67.848,0.494,59.262,13.019,43.157
"retail","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",179,9,9,0.734,0.722,8120.559,90.114,62.965,0.368,0,0,0
"retail","E3a","SOURCE_ENERGY","rpart",1,"meanCent",179,9,9,0.899,0.894,116987995218915,10816098.891,4534213.045,0.447,49.481,9.1,71.416
"retail","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",179,9,9,0.906,0.901,109432062812195,10460978.1,4382917.038,0.386,0,0,0
"retail","E3b","SOURCE_EUI","xgboost",1,"meanCent",179,9,9,0.825,0.817,5570.28,74.634,53.023,0.353,47.955,10.535,34.922
"retail","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",179,9,9,0,-0.047,65904.497,256.719,208.6,0.964,0,0,0
"retail","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",179,6,6,0.92,0.918,41425154868241,6436237.633,3605451.326,0.521,29.444,5.415,42.497
"retail","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",179,8,8,0,-0.041,635607433909683,25211256.095,15145225.663,1,0,0,0
"k12school","E1","SOURCE_EUI","Reg",1,"meanCent",333,8,8,0.168,0.15,1602.909,40.036,31.4,0.32,72.647,18.523,34.935
"k12school","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",333,8,8,0.169,0.151,1646.745,40.58,31.198,0.299,0,0,0
"k12school","E1","SOURCE_ENERGY","Reg",1,"meanCent",333,8,8,0.821,0.817,36001169102348,6000097.424,3594345.117,0.421,50.462,6.29,46.155
"k12school","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",333,8,8,0.669,0.662,2132028081531888,46173889.608,11590995.806,0.573,0,0,0
"k12school","E2","SOURCE_EUI","RegInt",2,"meanCent",333,29,29,0.238,0.168,1562.212,39.525,31.267,0.311,71.72,18.287,34.489
"k12school","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",333,29,29,0.262,0.194,1680.415,40.993,31.457,0.292,0,0,0
"k12school","E2","SOURCE_ENERGY","RegInt",2,"meanCent",333,29,29,0.845,0.831,31951161597646.3,5652535.855,3457551.825,0.361,47.539,5.925,43.482
"k12school","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",333,29,29,0.802,0.784,1507337502196218,38824444.648,7932453.197,0.453,0,0,0
"k12school","E2","SOURCE_EUI","RegInt",3,"meanCent",333,64,64,0.397,0.256,1380.918,37.161,29.248,0.291,67.431,17.193,32.426
"k12school","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",333,64,64,0.423,0.287,1425.027,37.75,28.809,0.267,0,0,0
"k12school","E2","SOURCE_ENERGY","RegInt",3,"meanCent",333,64,64,0.872,0.841,26888813043307.4,5185442.415,3121463.957,0.321,43.61,5.436,39.889
"k12school","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",333,64,64,0.887,0.861,73787725393105.5,8589978.195,4602649.421,0.344,0,0,0
"k12school","E2","SOURCE_EUI","RegInt",4,"meanCent",333,98,99,0.526,0.331,1289.252,35.906,26.273,0.265,65.153,16.612,31.331
"k12school","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",333,98,99,0.531,0.338,1353.221,36.786,26.096,0.246,0,0,0
"k12school","E2","SOURCE_ENERGY","RegInt",4,"meanCent",333,98,99,0.892,0.847,25083478731767,5008340.916,2946131.7,0.287,42.121,5.25,38.526
"k12school","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",333,98,99,0.919,0.885,54586854155433.8,7388291.694,3792539.244,0.296,0,0,0
"k12school","E2","SOURCE_EUI","RegInt",5,"meanCent",333,105,120,0.568,0.371,1118.008,33.437,24.435,0.247,60.673,15.47,29.177
"k12school","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",333,105,120,0.577,0.384,1158.09,34.031,23.917,0.225,0,0,0
"k12school","E2","SOURCE_ENERGY","RegInt",5,"meanCent",333,105,120,0.907,0.865,22054351217120.1,4696206.045,2776455.888,0.267,39.496,4.923,36.125
"k12school","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",333,105,120,0.928,0.896,49190019491762.3,7013559.688,3569526.941,0.274,0,0,0
"k12school","E2","SOURCE_EUI","RegInt",6,"meanCent",333,106,127,0.568,0.368,1111.52,33.339,24.413,0.246,60.495,15.425,29.091
"k12school","E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",333,106,127,0.578,0.383,1140.083,33.765,23.702,0.223,0,0,0
"k12school","E2","SOURCE_ENERGY","RegInt",6,"meanCent",333,106,127,0.907,0.865,21580186406398.4,4645447.923,2775798.771,0.267,39.069,4.87,35.735
"k12school","E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",333,106,127,0.929,0.896,46473465447303.1,6817144.963,3523264.93,0.272,0,0,0
"k12school","E2","SOURCE_EUI","RegInt",7,"meanCent",333,106,128,0.568,0.368,1111.52,33.339,24.413,0.246,60.495,15.425,29.091
"k12school","E2","SOURCE_EUI","RegInt",7,"meanCent_logDV",333,106,128,0.578,0.383,1140.083,33.765,23.702,0.223,0,0,0
"k12school","E2","SOURCE_ENERGY","RegInt",7,"meanCent",333,106,128,0.907,0.865,21580186406398.4,4645447.923,2775798.771,0.267,39.069,4.87,35.735
"k12school","E2","SOURCE_ENERGY","RegInt",7,"meanCent_logDV",333,106,128,0.929,0.896,46473465447303.1,6817144.963,3523264.93,0.272,0,0,0
"k12school","E3a","SOURCE_EUI","rpart",1,"meanCent",333,0,0,0,0.003,1803.922,42.473,33.521,0.353,77.069,19.651,37.062
