"btype","exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"worship","E2","SOURCE_EUI","RegInt",2,"meanCent",249,16,16,0.203,0.151,1808.331,42.524,31.776,0.667,74.265,18.693,59.868
"worship","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",249,16,16,0.22,0.17,2056.203,45.345,31.746,0.541,0,0,0
"worship","E2","SOURCE_ENERGY","RegInt",2,"meanCent",249,16,16,0.806,0.793,1629285797468.21,1276434.8,575211.943,0.691,102.031,6.719,87.772
"worship","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",249,16,16,0.688,0.668,111907091746818,10578614.831,1589822.286,0.73,0,0,0
"worship","E2","SOURCE_EUI","RegInt",3,"meanCent",249,26,26,0.228,0.142,1743.865,41.76,31.191,0.655,72.93,18.357,58.792
"worship","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",249,26,26,0.241,0.156,1991.324,44.624,31.367,0.536,0,0,0
"worship","E2","SOURCE_ENERGY","RegInt",3,"meanCent",249,26,26,0.818,0.797,1551239977425.97,1245487.847,566291.192,0.672,99.557,6.556,85.644
"worship","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",249,26,26,0.701,0.668,45710543652443.2,6760957.303,1324354.218,0.685,0,0,0
"worship","E2","SOURCE_EUI","RegInt",4,"meanCent",249,31,31,0.235,0.13,1717.705,41.445,30.869,0.649,72.38,18.218,58.349
"worship","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",249,31,31,0.248,0.145,1951.156,44.172,30.941,0.527,0,0,0
"worship","E2","SOURCE_ENERGY","RegInt",4,"meanCent",249,31,31,0.821,0.797,1521525808178.92,1233501.442,558468.811,0.653,98.599,6.493,84.82
"worship","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",249,31,31,0.704,0.663,31690851918180,5629462.845,1263471.877,0.662,0,0,0
"worship","E2","SOURCE_EUI","RegInt",5,"meanCent",249,32,32,0.239,0.131,1708.83,41.338,30.761,0.65,72.194,18.171,58.198
"worship","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",249,32,32,0.252,0.146,1903.362,43.628,30.56,0.524,0,0,0
"worship","E2","SOURCE_ENERGY","RegInt",5,"meanCent",249,32,32,0.822,0.796,1523798839398.19,1234422.472,558680.343,0.656,98.672,6.498,84.883
"worship","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",249,32,32,0.709,0.667,31351230940241,5599216.993,1197153.617,0.655,0,0,0
"worship","E3a","SOURCE_EUI","rpart",1,"meanCent",249,5,5,0.193,0.18,1890.407,43.479,32.4,0.713,75.933,19.112,61.212
"worship","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",249,5,5,0.064,0.049,2318.896,48.155,33.821,0.587,0,0,0
"worship","E3a","SOURCE_ENERGY","rpart",1,"meanCent",249,5,5,0.728,0.723,1777828600271.37,1333352.392,609727.511,0.839,106.58,7.018,91.686
"worship","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",249,5,5,0.595,0.588,2226851175578.98,1492263.775,658810.447,0.545,0,0,0
"worship","E3b","SOURCE_EUI","xgboost",1,"meanCent",249,5,5,0.268,0.256,1533.401,39.159,29.226,0.588,68.388,17.214,55.13
"worship","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",249,5,5,0,-0.016,6725.733,82.011,67.028,0.913,0,0,0
"worship","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",249,5,5,0.793,0.79,1491594381455.44,1221308.471,559876.875,0.783,97.624,6.429,83.982
"worship","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",249,5,5,0,-0.016,8397180139455.18,2897788.836,1454242.529,1,0,0,0
"multifamily","E1","SOURCE_EUI","Reg",1,"meanCent",319,7,7,0.235,0.22,1277.454,35.741,27.542,0.249,71.197,14.654,27.237
"multifamily","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",319,7,7,0.268,0.254,1310.295,36.198,27.449,0.238,0,0,0
"multifamily","E1","SOURCE_ENERGY","Reg",1,"meanCent",319,7,7,0.918,0.917,60760020255594.1,7794871.407,4203115.708,0.298,56.518,5.353,43.605
"multifamily","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",319,7,7,0.665,0.659,12316292835781632,110978794.532,13998013.818,0.431,0,0,0
"multifamily","E2","SOURCE_EUI","RegInt",2,"meanCent",319,22,22,0.32,0.272,1161.925,34.087,25.973,0.236,67.902,13.976,25.977
"multifamily","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",319,22,22,0.356,0.311,1167.79,34.173,25.796,0.226,0,0,0
"multifamily","E2","SOURCE_ENERGY","RegInt",2,"meanCent",319,22,22,0.944,0.94,44541661544054.3,6673953.966,3672219.691,0.254,48.391,4.584,37.335
"multifamily","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",319,22,22,0.803,0.789,5748020324090868,75815699.72,12097478.748,0.378,0,0,0
"multifamily","E2","SOURCE_EUI","RegInt",3,"meanCent",319,42,42,0.387,0.297,1097.746,33.132,25.501,0.234,66,13.584,25.249
"multifamily","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",319,42,42,0.419,0.333,1098.374,33.142,25.342,0.219,0,0,0
"multifamily","E2","SOURCE_ENERGY","RegInt",3,"meanCent",319,42,42,0.95,0.943,41111393472693.3,6411816.706,3509281.151,0.248,46.49,4.404,35.868
"multifamily","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",319,42,42,0.86,0.839,2592806657065159,50919609.75,8930583.528,0.314,0,0,0
"multifamily","E2","SOURCE_EUI","RegInt",4,"meanCent",319,57,57,0.441,0.321,1027.518,32.055,24.689,0.224,63.855,13.143,24.428
"multifamily","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",319,57,57,0.479,0.367,1023.515,31.992,24.569,0.21,0,0,0
"multifamily","E2","SOURCE_ENERGY","RegInt",4,"meanCent",319,57,57,0.96,0.951,39676189743388.6,6298903.853,3335976.359,0.228,45.671,4.326,35.237
"multifamily","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",319,57,57,0.884,0.859,3514304096508333,59281566.245,8618321.81,0.291,0,0,0
"multifamily","E2","SOURCE_EUI","RegInt",5,"meanCent",319,63,63,0.461,0.33,998.95,31.606,24.201,0.214,62.96,12.959,24.086
"multifamily","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",319,63,63,0.508,0.389,982.8,31.35,23.868,0.199,0,0,0
"multifamily","E2","SOURCE_ENERGY","RegInt",5,"meanCent",319,63,63,0.963,0.954,35623465232356,5968539.623,3185549.057,0.218,43.276,4.099,33.388
"multifamily","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",319,63,63,0.888,0.861,2952788411183623,54339565.799,8181250.196,0.284,0,0,0
"multifamily","E2","SOURCE_EUI","RegInt",6,"meanCent",319,64,64,0.461,0.328,992.054,31.497,24.113,0.213,62.743,12.914,24.003
"multifamily","E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",319,64,64,0.508,0.386,981.825,31.334,23.86,0.199,0,0,0
"multifamily","E2","SOURCE_ENERGY","RegInt",6,"meanCent",319,64,64,0.963,0.954,35508952762943.2,5958938.896,3181773.814,0.218,43.206,4.093,33.335
"multifamily","E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",319,64,64,0.888,0.861,2634994565654714,51332198.138,7957829.106,0.283,0,0,0
"multifamily","E3a","SOURCE_EUI","rpart",1,"meanCent",319,7,7,0.22,0.205,1377.232,37.111,28.4,0.269,73.926,15.216,28.281
"multifamily","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",319,5,5,0.163,0.153,1396.13,37.365,28.923,0.256,0,0,0
"multifamily","E3a","SOURCE_ENERGY","rpart",1,"meanCent",319,7,7,0.905,0.903,63290809514360,7955552.119,3744312.589,0.221,57.683,5.464,44.504
"multifamily","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",319,7,7,0.779,0.775,82658409608412.6,9091667.042,4552317.513,0.264,0,0,0
"multifamily","E3b","SOURCE_EUI","xgboost",1,"meanCent",319,6,6,0.297,0.286,1107.71,33.282,25.365,0.234,66.299,13.646,25.363
"multifamily","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",319,6,6,0,-0.016,17552.904,132.487,126.393,0.959,0,0,0
"multifamily","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",319,7,7,0.984,0.984,14961694569048.2,3868034.975,2149007.295,0.172,28.046,2.657,21.638
"multifamily","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",319,6,6,0,-0.016,733490516821033,27083030.052,17876033.167,1,0,0,0
