"","exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","E1","SOURCE_EUI","Reg",1,"meanCent",179,9,9,0.776,0.766,6910.967,83.132,59.508,0.387
"R21","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",179,9,9,0.648,0.631,10446.259,102.207,69.701,0.383
"R22","E1","SOURCE_ENERGY","Reg",1,"meanCent",179,9,9,0.866,0.86,59363941911727.2,7704799.927,4416239.516,0.838
"R23","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",179,9,9,0.764,0.753,8.74680631805483e+21,93524362163.315,7020619857.396,60.582
"R210","E2","SOURCE_EUI","RegInt",2,"meanCent",179,35,37,0.824,0.783,5277.196,72.644,54.353,0.381
"R217","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",179,35,37,0.712,0.644,6904.517,83.093,59.346,0.341
"R227","E2","SOURCE_ENERGY","RegInt",2,"meanCent",179,35,37,0.939,0.925,47112345246445.5,6863843.329,3184466.87,0.404
"R237","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",179,35,37,0.837,0.799,20461814357379940,143044798.428,24344287.045,0.726
"R24","E2","SOURCE_EUI","RegInt",3,"meanCent",179,69,93,0.876,0.799,3553.439,59.611,39.841,0.321
"R211","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",179,69,93,0.77,0.627,4096.338,64.003,41.464,0.287
"R221","E2","SOURCE_ENERGY","RegInt",3,"meanCent",179,69,93,0.962,0.939,41526279726864.9,6444088.743,2508465.835,0.407
"R231","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",179,69,93,0.879,0.804,15483710644643260,124433559.158,14984352.235,0.49
"R25","E2","SOURCE_EUI","RegInt",4,"meanCent",179,84,163,0.884,0.782,3397.248,58.286,38.558,0.318
"R212","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",179,84,163,0.785,0.598,3601.661,60.014,38.656,0.273
"R222","E2","SOURCE_ENERGY","RegInt",4,"meanCent",179,84,163,0.968,0.94,38395037286892.6,6196372.914,2295504.684,0.384
"R232","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",179,84,163,0.897,0.807,2471339892743868,49712572.783,7903820.139,0.379
"R26","E2","SOURCE_EUI","RegInt",5,"meanCent",179,90,219,0.886,0.772,3132.525,55.969,36.851,0.308
"R213","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",179,90,219,0.792,0.584,3251.508,57.022,37.333,0.261
"R223","E2","SOURCE_ENERGY","RegInt",5,"meanCent",179,90,219,0.974,0.948,32196545412352.5,5674199.98,2020320.032,0.379
"R233","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",179,90,219,0.902,0.803,2065480640436532,45447559.235,7158927.07,0.355
"R27","E2","SOURCE_EUI","RegInt",6,"meanCent",179,91,247,0.886,0.769,3135.993,56,36.964,0.308
"R214","E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",179,91,247,0.792,0.579,3247.16,56.984,37.235,0.26
"R224","E2","SOURCE_ENERGY","RegInt",6,"meanCent",179,91,247,0.974,0.947,32223894252026.3,5676609.398,2021816.6,0.378
"R234","E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",179,91,247,0.902,0.801,2231965712133414,47243684.362,7260728.989,0.356
"R28","E2","SOURCE_EUI","RegInt",7,"meanCent",179,91,255,0.886,0.769,3135.993,56,36.964,0.308
"R215","E2","SOURCE_EUI","RegInt",7,"meanCent_logDV",179,91,255,0.792,0.579,3247.16,56.984,37.235,0.26
"R225","E2","SOURCE_ENERGY","RegInt",7,"meanCent",179,91,255,0.974,0.947,32223894252026.3,5676609.398,2021816.6,0.378
"R235","E2","SOURCE_ENERGY","RegInt",7,"meanCent_logDV",179,91,255,0.902,0.801,2231965712133414,47243684.362,7260728.989,0.356
"R29","E2","SOURCE_EUI","RegInt",8,"meanCent",179,91,256,0.886,0.769,3135.993,56,36.964,0.308
"R216","E2","SOURCE_EUI","RegInt",8,"meanCent_logDV",179,91,256,0.792,0.579,3247.16,56.984,37.235,0.26
"R226","E2","SOURCE_ENERGY","RegInt",8,"meanCent",179,91,256,0.974,0.947,32223894252026.3,5676609.398,2021816.6,0.378
"R236","E2","SOURCE_ENERGY","RegInt",8,"meanCent_logDV",179,91,256,0.902,0.801,2231965712133414,47243684.362,7260728.989,0.356
"R218","E3a","SOURCE_EUI","rpart",1,"meanCent",179,8,8,0.701,0.688,8506.904,92.233,67.848,0.494
"R219","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",179,9,9,0.734,0.722,8120.559,90.114,62.965,0.368
"R228","E3a","SOURCE_ENERGY","rpart",1,"meanCent",179,9,9,0.899,0.894,116987995218915,10816098.891,4534213.045,0.447
"R238","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",179,9,9,0.906,0.901,109432062812195,10460978.1,4382917.038,0.386
"R220","E3b","SOURCE_EUI","xgboost",1,"meanCent",179,9,9,0.825,0.817,5570.28,74.634,53.023,0.353
"R2110","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",179,9,9,0,-0.047,65904.497,256.719,208.6,0.964
"R229","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",179,6,6,0.92,0.918,41425154868241,6436237.633,3605451.326,0.521
"R239","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",179,8,8,0,-0.041,635607433909683,25211256.095,15145225.663,1
