"","btype","exp","dependent","model","interaction","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","data"
"1","Office","E1","TotalEnergy","MLR",1,628,7,7,0.665,0.662,19403030068049.8,4404887.066,1798946.626,1.296,"CBECS"
"2","Office","E2","TotalEnergy","MLRi2",2,628,22,22,0.744,0.735,13968248558407.4,3737412.013,1571919.003,0.703,"CBECS"
"3","Office","E2","TotalEnergy","MLRi3",3,628,42,42,0.759,0.742,11733101712674.2,3425361.545,1545050.396,0.716,"CBECS"
"4","Office","E2","TotalEnergy","MLRi4",4,628,57,57,0.78,0.758,9612173537752.34,3100350.551,1465597.12,0.761,"CBECS"
"5","Office","E3a","TotalEnergy","DT",1,628,7,7,0.794,0.792,15111285040533.4,3887323.635,1558605.534,0.586,"CBECS"
"6","Office","E3b","TotalEnergy","GBTi2",1,628,7,7,0.876,0.875,5425856746751.72,2329346.85,1205673.516,0.706,"CBECS"
"7","Retail","E1","TotalEnergy","MLR",1,179,9,9,0.866,0.86,59363941911727.2,7704799.927,4416239.516,0.838,"CBECS"
"8","Retail","E2","TotalEnergy","MLRi2",2,179,35,37,0.939,0.925,47112345246445.5,6863843.329,3184466.87,0.404,"CBECS"
"9","Retail","E2","TotalEnergy","MLRi3",3,179,69,93,0.962,0.939,41526279726864.9,6444088.743,2508465.835,0.407,"CBECS"
"10","Retail","E2","TotalEnergy","MLRi4",4,179,84,163,0.968,0.94,38395037286892.6,6196372.914,2295504.684,0.384,"CBECS"
"11","Retail","E3a","TotalEnergy","DT",1,179,9,9,0.899,0.894,116987995218915,10816098.891,4534213.045,0.447,"CBECS"
"12","Retail","E3b","TotalEnergy","GBTi2",1,179,6,6,0.92,0.918,41425154868241,6436237.633,3605451.326,0.521,"CBECS"
"13","K-12school","E1","TotalEnergy","MLR",1,333,8,8,0.821,0.817,36001169102348,6000097.424,3594345.117,0.421,"CBECS"
"14","K-12school","E2","TotalEnergy","MLRi2",2,333,29,29,0.845,0.831,31951161597646.3,5652535.855,3457551.825,0.361,"CBECS"
"15","K-12school","E2","TotalEnergy","MLRi3",3,333,64,64,0.872,0.841,26888813043307.4,5185442.415,3121463.957,0.321,"CBECS"
"16","K-12school","E2","TotalEnergy","MLRi4",4,333,98,99,0.892,0.847,25083478731767,5008340.916,2946131.7,0.287,"CBECS"
"17","K-12school","E3a","TotalEnergy","DT",1,333,10,10,0.839,0.834,33599828494890.9,5796535.905,3600006.153,0.462,"CBECS"
"18","K-12school","E3b","TotalEnergy","GBTi2",1,333,7,7,0.859,0.857,26681313613082.6,5165395.785,3241803.124,0.423,"CBECS"
"19","Hotel","E1","TotalEnergy","MLR",1,104,8,8,0.896,0.888,183674576201346,13552659.377,9300485.937,0.368,"CBECS"
"20","Hotel","E2","TotalEnergy","MLRi2",2,104,29,29,0.953,0.935,127509219902540,11291998.047,7490974.231,0.231,"CBECS"
"21","Hotel","E2","TotalEnergy","MLRi3",3,104,64,64,0.973,0.931,69652768155349.8,8345823.396,4916744.166,0.164,"CBECS"
"22","Hotel","E2","TotalEnergy","MLRi4",4,104,99,99,0.997,0.937,9440469622870.95,3072534.723,1502250.338,0.031,"CBECS"
"23","Hotel","E3a","TotalEnergy","DT",1,104,8,8,0.869,0.859,287749862656426,16963191.405,11491994.041,0.419,"CBECS"
"24","Hotel","E3b","TotalEnergy","GBTi2",1,104,7,7,0.944,0.94,135324353342282,11632899.61,7721067.374,0.263,"CBECS"
"25","Worship","E1","TotalEnergy","MLR",1,249,6,6,0.714,0.708,1924859795642.54,1387393.165,658508.238,0.832,"CBECS"
"26","Worship","E2","TotalEnergy","MLRi2",2,249,16,16,0.806,0.793,1629285797468.21,1276434.8,575211.943,0.691,"CBECS"
"27","Worship","E2","TotalEnergy","MLRi3",3,249,26,26,0.818,0.797,1551239977425.97,1245487.847,566291.192,0.672,"CBECS"
"28","Worship","E2","TotalEnergy","MLRi4",4,249,31,31,0.821,0.797,1521525808178.92,1233501.442,558468.811,0.653,"CBECS"
"29","Worship","E3a","TotalEnergy","DT",1,249,5,5,0.728,0.723,1777828600271.37,1333352.392,609727.511,0.839,"CBECS"
"30","Worship","E3b","TotalEnergy","GBTi2",1,249,5,5,0.793,0.79,1491594381455.44,1221308.471,559876.875,0.783,"CBECS"
"31","Multifamily","E1","TotalEnergy","MLR",1,319,7,7,0.918,0.917,60760020255594.1,7794871.407,4203115.708,0.298,"CBECS"
"32","Multifamily","E2","TotalEnergy","MLRi2",2,319,22,22,0.944,0.94,44541661544054.3,6673953.966,3672219.691,0.254,"CBECS"
"33","Multifamily","E2","TotalEnergy","MLRi3",3,319,42,42,0.95,0.943,41111393472693.3,6411816.706,3509281.151,0.248,"CBECS"
"34","Multifamily","E2","TotalEnergy","MLRi4",4,319,57,57,0.96,0.951,39676189743388.6,6298903.853,3335976.359,0.228,"CBECS"
"35","Multifamily","E3a","TotalEnergy","DT",1,319,7,7,0.905,0.903,63290809514360,7955552.119,3744312.589,0.221,"CBECS"
"36","Multifamily","E3b","TotalEnergy","GBTi2",1,319,7,7,0.984,0.984,14961694569048.2,3868034.975,2149007.295,0.172,"CBECS"
"37","Office","C1","SourceEnergy","MLR",1,1065,8,8,0.824,0.823,480781674390667,21926734.239,11693722.125,0.466,"NYC"
"38","Office","C2","SourceEnergy","MLRi2",2,1065,29,29,0.829,0.824,467357826340450,21618460.314,11433738.467,0.439,"NYC"
"39","Office","C2","SourceEnergy","MLRi3",3,1065,59,64,0.839,0.83,439664037216890,20968167.236,11053090.875,0.433,"NYC"
"40","Office","C2","SourceEnergy","MLRi4",4,1065,78,99,0.845,0.833,421869149542515,20539453.487,10837870.425,0.423,"NYC"
"41","Office","C3a","SourceEnergy","DT",1,1065,6,6,0.814,0.813,507747490630634,22533252.997,12597203.73,0.52,"NYC"
"42","Office","C3b","SourceEnergy","GBTi2",1,1065,7,7,0.929,0.929,182142929101469,13496033.829,8222850.451,0.359,"NYC"
"43","Retail","C1","SourceEnergy","MLR",1,1065,8,8,0.824,0.823,480781674390667,21926734.239,11693722.125,0.466,"NYC"
"44","Retail","C2","SourceEnergy","MLRi2",2,1065,29,29,0.829,0.824,467357826340450,21618460.314,11433738.467,0.439,"NYC"
"45","Retail","C2","SourceEnergy","MLRi3",3,1065,59,64,0.839,0.83,439664037216890,20968167.236,11053090.875,0.433,"NYC"
"46","Retail","C2","SourceEnergy","MLRi4",4,1065,78,99,0.845,0.833,421869149542515,20539453.487,10837870.425,0.423,"NYC"
"47","Retail","C3a","SourceEnergy","DT",1,1065,6,6,0.814,0.813,507747490630634,22533252.997,12597203.73,0.52,"NYC"
"48","Retail","C3b","SourceEnergy","GBTi2",1,1065,7,7,0.893,0.893,282066484984129,16794835.069,10438389.439,0.477,"NYC"
"49","K-12school","C1","SourceEnergy","MLR",1,75,8,8,0.59,0.547,32726554588511.9,5720712.769,4100435.793,0.388,"NYC"
"50","K-12school","C2","SourceEnergy","MLRi2",2,75,20,29,0.774,0.696,18055625579599.1,4249191.168,3100186.712,0.329,"NYC"
"51","K-12school","C2","SourceEnergy","MLRi3",3,75,30,64,0.87,0.787,10344869342207.3,3216344.096,2402552.607,0.259,"NYC"
"52","K-12school","C2","SourceEnergy","MLRi4",4,75,35,99,0.894,0.804,8465234752420.56,2909507.648,1932590.508,0.21,"NYC"
"53","K-12school","C3a","SourceEnergy","DT",1,75,5,5,0.419,0.386,46390187871616.6,6811034.273,5176185.583,0.464,"NYC"
"54","K-12school","C3b","SourceEnergy","GBTi2",1,75,5,5,0.65,0.63,21981846468455.7,4688480.187,3416372.217,0.283,"NYC"
"55","Hotel","C1","SourceEnergy","MLR",1,185,8,8,0.872,0.867,189266719514773,13757424.16,9132875.163,0.324,"NYC"
"56","Hotel","C2","SourceEnergy","MLRi2",2,185,29,29,0.905,0.888,139939555486193,11829605.044,7682773.832,0.29,"NYC"
"57","Hotel","C2","SourceEnergy","MLRi3",3,185,62,64,0.942,0.914,85283335606849.3,9234897.704,5883570.435,0.223,"NYC"
"58","Hotel","C2","SourceEnergy","MLRi4",4,185,72,99,0.951,0.92,72832538375261.1,8534198.168,5171369.492,0.199,"NYC"
"59","Hotel","C3a","SourceEnergy","DT",1,185,7,7,0.867,0.863,196175262148954,14006257.964,8819427.715,0.287,"NYC"
"60","Hotel","C3b","SourceEnergy","GBTi2",1,185,7,7,0.999,0.999,905632424486.773,951647.216,481915.253,0.016,"NYC"
"61","Multifamily","C1","SourceEnergy","MLR",1,8080,8,8,0.838,0.838,81088534742665.1,9004917.254,4411131.024,0.294,"NYC"
"62","Multifamily","C2","SourceEnergy","MLRi2",2,8080,29,29,0.858,0.857,71381893418505.7,8448780.588,4056033.774,0.271,"NYC"
"63","Multifamily","C2","SourceEnergy","MLRi3",3,8080,64,64,0.871,0.87,64751120172510.1,8046808.074,3986828.162,0.273,"NYC"
"64","Multifamily","C2","SourceEnergy","MLRi4",4,8080,99,99,0.877,0.876,61675055039098.9,7853346.741,3920871.988,0.271,"NYC"
"65","Multifamily","C3a","SourceEnergy","DT",1,8080,7,7,0.895,0.895,52452932558308,7242439.683,3296289.912,0.216,"NYC"
"66","Multifamily","C3b","SourceEnergy","GBTi2",1,8080,7,7,0.991,0.991,4617667300593.21,2148875.823,1179791.333,0.123,"NYC"
"67","Office","C1","SourceEnergy","MLR",1,419,30,31,0.801,0.786,193915378371590,13925350.206,7212752.429,0.504,"Seattle"
"68","Office","C2","SourceEnergy","MLRi2",2,419,169,354,0.912,0.852,86248763498069.2,9287021.239,5042924.762,0.38,"Seattle"
"69","Office","C2","SourceEnergy","MLRi3",3,419,298,2050,0.978,0.923,21693229122254.3,4657599.073,2085596.755,0.176,"Seattle"
"70","Office","C2","SourceEnergy","MLRi4",4,419,340,6925,0.991,0.952,8857413257005.37,2976140.665,1071011.77,0.102,"Seattle"
"71","Office","C3a","SourceEnergy","DT",1,419,7,7,0.783,0.779,212201462448134,14567136.385,8293419.267,0.715,"Seattle"
"72","Office","E3b","SourceEnergy","GBTi2",1,419,33,33,1,1,363076862899.765,602558.597,437274.158,0.066,"Seattle"
"73","Retail","C1","SourceEnergy","MLR",1,113,25,26,0.766,0.702,90065169461394.2,9490267.091,6928014.025,0.919,"Seattle"
"74","Retail","C2","SourceEnergy","MLRi2",2,113,87,259,0.934,0.717,25321126462596.1,5032010.181,2244440.744,0.529,"Seattle"
"75","Retail","C2","SourceEnergy","MLRi3",3,113,95,1360,0.942,0.639,22332499999998.8,4725727.457,1906708.066,0.304,"Seattle"
"76","Retail","C2","SourceEnergy","MLRi4",4,113,95,4295,0.942,0.639,22332499999998.8,4725727.457,1906708.066,0.304,"Seattle"
"77","Retail","C3a","SourceEnergy","DT",1,113,5,5,0.585,0.569,159839820219512,12642777.393,8034372.257,0.96,"Seattle"
"78","Retail","E3b","SourceEnergy","GBTi2",1,113,24,24,0.879,0.847,43623581686243.3,6604815.038,5344596.282,0.81,"Seattle"
"79","K-12school","C1","SourceEnergy","MLR",1,118,27,27,0.928,0.907,2395437606268.75,1547720.132,992790.922,0.177,"Seattle"
"80","K-12school","C2","SourceEnergy","MLRi2",2,118,83,272,0.969,0.896,1029731866569.43,1014757.048,362916.26,0.061,"Seattle"
"81","K-12school","C2","SourceEnergy","MLRi3",3,118,95,1414,0.981,0.902,637954970032.998,798720.834,282433.403,0.048,"Seattle"
