"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","E1",1,"Reg","SOURCE_EUI",319,6,6,0.195,0.179,1277.531
"2","E1",1,"Reg","SOURCE_ENERGY",319,6,6,0.184,0.169,364523937968170
"3","E1a",1,"Reg-Lasso","SOURCE_EUI",319,2,2,0.066,0.048,1518.397
"4","E1a",1,"Reg-Ridge","SOURCE_EUI",319,7,7,0.164,0.148,1414.645
"5","E1a",1,"Reg-ElasticNet","SOURCE_EUI",319,7,7,0.18,0.164,1325.813
"6","E1a",1,"Reg-Lasso","SOURCE_ENERGY",319,2,2,0.132,0.115,455817439090676
"7","E1a",1,"Reg-Ridge","SOURCE_ENERGY",319,7,7,0.182,0.166,455202862232760
"8","E1a",1,"Reg-ElasticNet","SOURCE_ENERGY",319,2,2,0.133,0.116,435188165858661
"9","E2",2,"RegInt","SOURCE_EUI",319,16,16,0.253,0.213,1187.065
"10","E2",2,"RegInt","SOURCE_ENERGY",319,16,16,0.271,0.233,321153615311804
"11","E2",3,"RegInt","SOURCE_EUI",319,26,26,0.279,0.214,1144.612
"12","E2",3,"RegInt","SOURCE_ENERGY",319,26,26,0.287,0.224,311498687616344
"13","E2",4,"RegInt","SOURCE_EUI",319,31,31,0.288,0.211,1130.184
"14","E2",4,"RegInt","SOURCE_ENERGY",319,31,31,0.293,0.216,309696367512232
"15","E2",5,"RegInt","SOURCE_EUI",319,32,32,0.276,0.195,1150.442
"16","E2",5,"RegInt","SOURCE_ENERGY",319,32,32,0.285,0.205,312928615731768
"17","E3a",1,"rpart","SOURCE_EUI",319,5,5,0.135,0.121,1377.232
"18","E3a",1,"rpart","SOURCE_ENERGY",319,5,5,0.336,0.325,298365859862256
"19","E3b",1,"xgboost","SOURCE_EUI",319,6,6,0.597,0.59,194075565737800
"20","E3b",1,"xgboost","SOURCE_ENERGY",319,6,6,0.769,0.764,126806683827230
