"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","E1",1,"Reg","SOURCE_EUI",249,5,5,0.15,0.132,1924.033
"2","E1",1,"Reg","SOURCE_ENERGY",249,5,5,0.225,0.21,5280035061368.94
"3","E1a",1,"Reg-Lasso","SOURCE_EUI",249,1,1,NA,NA,2269.646
"4","E1a",1,"Reg-Ridge","SOURCE_EUI",249,5,5,0.143,0.129,2267.426
"5","E1a",1,"Reg-ElasticNet","SOURCE_EUI",249,4,4,0.131,0.117,2031.408
"6","E1a",1,"Reg-Lasso","SOURCE_ENERGY",249,2,2,0.206,0.193,6659464335272.47
"7","E1a",1,"Reg-Ridge","SOURCE_ENERGY",249,5,5,0.213,0.2,6654111203578.15
"8","E1a",1,"Reg-ElasticNet","SOURCE_ENERGY",249,4,4,0.224,0.212,6022680763725.8
"9","E2",2,"RegInt","SOURCE_EUI",249,11,11,0.164,0.125,1895.424
"10","E2",2,"RegInt","SOURCE_ENERGY",249,11,11,0.254,0.22,5089050929600.78
"11","E2",3,"RegInt","SOURCE_EUI",249,15,15,0.185,0.133,1847.425
"12","E2",3,"RegInt","SOURCE_ENERGY",249,15,15,0.267,0.22,5005949234373.48
"13","E2",4,"RegInt","SOURCE_EUI",249,16,16,0.186,0.129,1846.693
"14","E2",4,"RegInt","SOURCE_ENERGY",249,16,16,0.272,0.222,4970036003647.85
"15","E3a",1,"rpart","SOURCE_EUI",249,4,4,0.186,0.172,1842.857
"16","E3a",1,"rpart","SOURCE_ENERGY",249,4,4,0.29,0.278,4647702806165.9
"17","E3b",1,"xgboost","SOURCE_EUI",249,4,4,0.722,0.717,2741556835150.35
"18","E3b",1,"xgboost","SOURCE_ENERGY",249,4,4,0.729,0.725,2711929255141.23
