"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","E1",1,"Reg","SOURCE_EUI",420,5,5,0.215,0.205,3336.104
"2","E1",1,"Reg","SOURCE_ENERGY",420,5,5,0.314,0.305,247312522330180
"3","E1a",1,"Reg-Lasso","SOURCE_EUI",420,5,5,0.214,0.207,3529.251
"4","E1a",1,"Reg-Ridge","SOURCE_EUI",420,5,5,0.224,0.216,3613.976
"5","E1a",1,"Reg-ElasticNet","SOURCE_EUI",420,5,5,0.216,0.208,3404.494
"6","E1a",1,"Reg-Lasso","SOURCE_ENERGY",420,1,1,NA,NA,317628851467682
"7","E1a",1,"Reg-Ridge","SOURCE_ENERGY",420,5,5,0.313,0.306,317397257324846
"8","E1a",1,"Reg-ElasticNet","SOURCE_ENERGY",420,2,2,0.244,0.237,317628851467682
"9","E2",2,"RegInt","SOURCE_EUI",420,11,11,0.333,0.315,2851.488
"10","E2",2,"RegInt","SOURCE_ENERGY",420,11,11,0.426,0.41,174781831735937
"11","E2",3,"RegInt","SOURCE_EUI",420,15,15,0.34,0.316,2823.503
"12","E2",3,"RegInt","SOURCE_ENERGY",420,15,15,0.437,0.416,171920782601600
"13","E2",4,"RegInt","SOURCE_EUI",420,16,16,0.336,0.31,2845.789
"14","E2",4,"RegInt","SOURCE_ENERGY",420,16,16,0.418,0.395,174470745047615
"15","E3a",1,"rpart","SOURCE_EUI",420,4,4,0.3,0.293,3147.57
"16","E3a",1,"rpart","SOURCE_ENERGY",420,4,4,0.421,0.415,170696623518239
"17","E3b",1,"xgboost","SOURCE_EUI",420,4,4,0.97,0.97,10021582547324.5
"18","E3b",1,"xgboost","SOURCE_ENERGY",420,4,4,0.968,0.968,11207861332323.7
