"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","E1",1,"Reg","SOURCE_EUI",179,7,7,0.71,0.698,6862.145
"2","E1",1,"Reg","SOURCE_ENERGY",179,7,7,0.315,0.287,349194201679587
"3","E1a",1,"Reg-Lasso","SOURCE_EUI",179,7,7,0.7,0.688,6765.452
"4","E1a",1,"Reg-Ridge","SOURCE_EUI",179,8,8,0.711,0.699,6580.885
"5","E1a",1,"Reg-ElasticNet","SOURCE_EUI",179,8,8,0.707,0.695,6605.924
"6","E1a",1,"Reg-Lasso","SOURCE_ENERGY",179,2,2,0.337,0.31,414888076080489
"7","E1a",1,"Reg-Ridge","SOURCE_ENERGY",179,8,8,0.207,0.175,447503268799731
"8","E1a",1,"Reg-ElasticNet","SOURCE_ENERGY",179,3,3,0.335,0.307,377260092203377
"9","E2",2,"RegInt","SOURCE_EUI",179,22,22,0.74,0.703,6133.242
"10","E2",2,"RegInt","SOURCE_ENERGY",179,22,22,0.311,0.213,330985770487398
"11","E2",3,"RegInt","SOURCE_EUI",179,42,42,0.747,0.669,5997.091
"12","E2",3,"RegInt","SOURCE_ENERGY",179,42,42,0.327,0.12,310457019014099
"13","E2",4,"RegInt","SOURCE_EUI",179,57,57,0.789,0.689,4912.105
"14","E2",4,"RegInt","SOURCE_ENERGY",179,57,57,0.367,0.07,287548540303540
"15","E2",5,"RegInt","SOURCE_EUI",179,59,63,0.82,0.722,4091.985
"16","E2",5,"RegInt","SOURCE_ENERGY",179,59,63,0.367,0.02,289152596835483
"17","E2",6,"RegInt","SOURCE_EUI",179,59,64,0.82,0.719,4091.985
"18","E2",6,"RegInt","SOURCE_ENERGY",179,59,64,0.367,0.011,289152596835483
"19","E3a",1,"rpart","SOURCE_EUI",179,6,6,0.677,0.666,7675.263
"20","E3a",1,"rpart","SOURCE_ENERGY",179,6,6,0.34,0.317,305825196787991
"21","E3b",1,"xgboost","SOURCE_EUI",179,7,7,0.983,0.982,17516890864245.3
"22","E3b",1,"xgboost","SOURCE_ENERGY",179,7,7,0.944,0.942,56778068388033.2
