"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","E1",1,"Reg","SOURCE_EUI",104,7,7,0.395,0.351,3168.442
"2","E1",1,"Reg","SOURCE_ENERGY",104,7,7,0.417,0.375,938247083400183
"3","E1a",1,"Reg-Lasso","SOURCE_EUI",104,4,4,0.297,0.253,4040.957
"4","E1a",1,"Reg-Ridge","SOURCE_EUI",104,7,7,0.357,0.317,4752.609
"5","E1a",1,"Reg-ElasticNet","SOURCE_EUI",104,5,5,0.359,0.32,3902.882
"6","E1a",1,"Reg-Lasso","SOURCE_ENERGY",104,2,2,0.331,0.29,1482467245576951
"7","E1a",1,"Reg-Ridge","SOURCE_ENERGY",104,7,7,0.448,0.414,1660408015973409
"8","E1a",1,"Reg-ElasticNet","SOURCE_ENERGY",104,3,3,0.374,0.335,1285831447678293
"9","E2",2,"RegInt","SOURCE_EUI",104,22,22,0.426,0.27,2993.203
"10","E2",2,"RegInt","SOURCE_ENERGY",104,22,22,0.501,0.365,736630950310553
"11","E2",3,"RegInt","SOURCE_EUI",104,42,42,0.524,0.196,2514.787
"12","E2",3,"RegInt","SOURCE_ENERGY",104,42,42,0.653,0.414,515717295275380
"13","E2",4,"RegInt","SOURCE_EUI",104,57,57,0.634,0.181,1934.398
"14","E2",4,"RegInt","SOURCE_ENERGY",104,57,57,0.778,0.503,332388168020826
"15","E2",5,"RegInt","SOURCE_EUI",104,63,63,0.69,0.202,1634.295
"16","E2",5,"RegInt","SOURCE_ENERGY",104,63,63,0.8,0.485,283026284915348
"17","E2",6,"RegInt","SOURCE_EUI",104,64,64,0.691,0.184,1627.17
"18","E2",6,"RegInt","SOURCE_ENERGY",104,64,64,0.8,0.471,283164826505248
"19","E3a",1,"rpart","SOURCE_EUI",104,6,6,0.363,0.323,3244.521
"20","E3a",1,"rpart","SOURCE_ENERGY",104,6,6,0.582,0.556,610176326329225
"21","E3b",1,"xgboost","SOURCE_EUI",104,6,6,0.959,0.956,96691489403097.5
"22","E3b",1,"xgboost","SOURCE_ENERGY",104,6,6,0.991,0.99,21073143735828
