"exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1",1,"Reg","SourceEUI",241,8,8,0.049,0.02,4284.094,65.453,47.553,1.086,86.122,14.254,75.599
"C1",1,"Reg","SourceEnergy",241,8,8,0.562,0.548,67227577828928.9,8199242.516,5461174.332,1.065,93.755,7.914,81.28
"C2",2,"RegInt","SourceEUI",241,25,29,0.098,-0.002,4064.319,63.752,46.06,1.066,83.884,13.883,73.634
"C2",2,"RegInt","SourceEnergy",241,25,29,0.643,0.603,54764252358599.5,7400287.316,5145829.308,1.078,84.619,7.143,73.36
"C2",3,"RegInt","SourceEUI",241,43,64,0.166,-0.011,3758.324,61.305,43.926,0.976,80.664,13.35,70.808
"C2",3,"RegInt","SourceEnergy",241,43,64,0.693,0.628,47013076647774.6,6856608.247,4666539.328,0.966,78.402,6.618,67.97
"C2",4,"RegInt","SourceEUI",241,49,99,0.184,-0.02,3675.837,60.629,42.931,0.955,79.775,13.203,70.027
"C2",4,"RegInt","SourceEnergy",241,49,99,0.706,0.633,45082450289945.6,6714346.602,4549135.028,0.96,76.776,6.481,66.56
"C2",5,"RegInt","SourceEUI",241,50,120,0.185,-0.025,3673.358,60.608,42.892,0.954,79.747,13.199,70.003
"C2",5,"RegInt","SourceEnergy",241,50,120,0.706,0.631,45049528055631.2,6711894.521,4543515.075,0.959,76.748,6.478,66.536
"C2",6,"RegInt","SourceEUI",241,50,127,0.185,-0.025,3673.358,60.608,42.892,0.954,79.747,13.199,70.003
"C2",6,"RegInt","SourceEnergy",241,50,127,0.706,0.631,45049528055631.2,6711894.521,4543515.075,0.959,76.748,6.478,66.536
"C2",7,"RegInt","SourceEUI",241,50,128,0.185,-0.025,3673.358,60.608,42.892,0.954,79.747,13.199,70.003
"C2",7,"RegInt","SourceEnergy",241,50,128,0.706,0.631,45049528055631.2,6711894.521,4543515.075,0.959,76.748,6.478,66.536
"C3a",1,"rpart","SourceEUI",241,0,0,0,0.004,4504.936,67.119,49.516,1.155,88.314,14.617,77.523
"C3a",1,"rpart","SourceEnergy",241,5,5,0.367,0.356,97129025220269.8,9855405.888,6078748.078,1.31,112.692,9.513,97.698
"C3b",1,"xgboost_default","SourceEUI",241,6,6,0.089,0.07,3721.612,61.005,44.888,1.007,80.27,13.285,70.461
"C3b",1,"xgboost_default","SourceEnergy",241,6,6,0.675,0.669,43988900739613,6632412.89,4689925.652,1.052,75.839,6.402,65.748
"C3b",1,"xgboost_random","SourceEUI",241,4,4,0.095,0.084,4200.53,64.811,47.101,1.119,85.278,14.114,74.857
"C3b",1,"xgboost_random","SourceEnergy",241,5,5,0.045,0.029,127998045030255,11313622.1,5774392.521,0.928,129.366,10.92,112.153
