"exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1",1,"Reg","SourceEUI",75,8,8,0.342,0.274,2548.48,50.482,37.893,0.38,69.63,15.741,40.096
"C1",1,"Reg","SourceEnergy",75,8,8,0.59,0.547,32726554588511.9,5720712.769,4100435.793,0.388,73.493,14.647,43.375
"C2",2,"RegInt","SourceEUI",75,20,29,0.56,0.408,1706.169,41.306,31.754,0.33,56.974,12.88,32.808
"C2",2,"RegInt","SourceEnergy",75,20,29,0.774,0.696,18055625579599.1,4249191.168,3100186.712,0.329,54.589,10.879,32.218
"C2",3,"RegInt","SourceEUI",75,30,64,0.685,0.482,1220.057,34.929,27.62,0.278,48.178,10.891,27.743
"C2",3,"RegInt","SourceEnergy",75,30,64,0.87,0.787,10344869342207.3,3216344.096,2402552.607,0.259,41.32,8.235,24.387
"C2",4,"RegInt","SourceEUI",75,35,99,0.754,0.545,953.897,30.885,22.481,0.23,42.6,9.63,24.531
"C2",4,"RegInt","SourceEnergy",75,35,99,0.894,0.804,8465234752420.56,2909507.648,1932590.508,0.21,37.378,7.449,22.06
"C2",5,"RegInt","SourceEUI",75,36,120,0.768,0.559,900.408,30.007,21.251,0.215,41.389,9.357,23.833
"C2",5,"RegInt","SourceEnergy",75,36,120,0.897,0.805,8209531664903.73,2865228.03,1844756.492,0.196,36.809,7.336,21.724
"C2",6,"RegInt","SourceEUI",75,36,127,0.768,0.559,900.408,30.007,21.251,0.215,41.389,9.357,23.833
"C2",6,"RegInt","SourceEnergy",75,36,127,0.897,0.805,8209531664903.73,2865228.03,1844756.492,0.196,36.809,7.336,21.724
"C2",7,"RegInt","SourceEUI",75,36,128,0.768,0.559,900.408,30.007,21.251,0.215,41.389,9.357,23.833
"C2",7,"RegInt","SourceEnergy",75,36,128,0.897,0.805,8209531664903.73,2865228.03,1844756.492,0.196,36.809,7.336,21.724
"C3a",1,"rpart","SourceEUI",75,5,5,0.308,0.269,2680.461,51.773,37.752,0.358,71.411,16.144,41.121
"C3a",1,"rpart","SourceEnergy",75,5,5,0.419,0.386,46390187871616.6,6811034.273,5176185.583,0.464,87.5,17.439,51.642
"C3b",1,"xgboost_default","SourceEUI",75,6,6,0.974,0.972,92.094,9.597,7.25,0.075,13.237,2.993,7.622
"C3b",1,"xgboost_default","SourceEnergy",75,6,6,0.984,0.983,1170935970198.75,1082097.949,839648.572,0.1,13.902,2.771,8.205
"C3b",1,"xgboost_random","SourceEUI",75,5,5,0.681,0.662,990.152,31.467,24.75,0.222,43.403,9.812,24.993
"C3b",1,"xgboost_random","SourceEnergy",75,5,5,0.65,0.63,21981846468455.7,4688480.187,3416372.217,0.283,60.232,12.004,35.548
