"exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1",1,"Reg","SourceEUI",26,8,8,0.178,-0.141,2212.283,47.035,35.829,0.622,83.248,22.43,49.573
"C1",1,"Reg","SiteEnergy",26,8,8,0.243,-0.051,6553434775291.79,2559967.729,1912513.327,1.793,0,0,0
"C2",2,"RegInt","SourceEUI",26,21,29,0.833,0.167,448.533,21.179,10.554,0.178,37.485,10.1,22.322
"C2",2,"RegInt","SiteEnergy",26,21,29,0.907,0.533,808646909247.519,899247.969,472628.186,0.293,0,0,0
"C2",3,"RegInt","SourceEUI",26,25,64,1,0.991,0.946,0.973,0.392,0.008,1.722,0.464,1.026
"C2",3,"RegInt","SiteEnergy",26,25,64,1,0.997,889627359.327,29826.622,12029.147,0.006,0,0,0
"C2",4,"RegInt","SourceEUI",26,26,99,1,NA,0,0,0,0,0,0,0
"C2",4,"RegInt","SiteEnergy",26,26,99,1,NA,0,0,0,0,0,0,0
"C2",5,"RegInt","SourceEUI",26,26,120,1,NA,0,0,0,0,0,0,0
"C2",5,"RegInt","SiteEnergy",26,26,120,1,NA,0,0,0,0,0,0,0
"C2",6,"RegInt","SourceEUI",26,26,127,1,NA,0,0,0,0,0,0,0
"C2",6,"RegInt","SiteEnergy",26,26,127,1,NA,0,0,0,0,0,0,0
"C2",7,"RegInt","SourceEUI",26,26,128,1,NA,0,0,0,0,0,0,0
"C2",7,"RegInt","SiteEnergy",26,26,128,1,NA,0,0,0,0,0,0,0
"C3a",1,"rpart","SourceEUI",26,0,0,0,0.038,2692.479,51.889,42.283,0.854,91.839,24.744,54.689
"C3a",1,"rpart","SiteEnergy",26,4,4,0.373,0.288,5428814230695.89,2329981.594,1758974.327,1.694,0,0,0
"C3b",1,"xgboost_default","SourceEUI",26,5,5,0.769,0.725,459.401,21.434,16.053,0.202,37.936,10.221,22.591
"C3b",1,"xgboost_default","SiteEnergy",26,7,7,0.804,0.743,1336180166796.91,1155932.596,873659.557,0.619,0,0,0
"C3b",1,"xgboost_random","SourceEUI",26,4,4,0.444,0.368,1265.493,35.574,27.531,0.457,62.963,16.964,37.494
"C3b",1,"xgboost_random","SiteEnergy",26,7,7,1,1,1735924382.504,41664.426,28159.37,0.018,0,0,0
