"model","dependent","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean","nrmse_sd"
"MLR","SOURCE_EUI",1,"meanCent",882,6,6,0.204,0.199,15206.251,123.314,75.374,0.565,101.896,9.942,67.744,95.398
"MLR","SOURCE_ENERGY",1,"meanCent",882,7,7,0.653,0.65,924402469219701,30403987.719,7855736.665,1.207,139.889,3.489,150.142,66.827
"MLR","SOURCE_EUI",2,"meanCent",882,16,16,0.23,0.216,15292.386,123.662,75.549,0.564,102.183,9.97,67.936,95.668
"MLR","SOURCE_EUI",3,"meanCent",882,26,26,0.239,0.217,15546.342,124.685,75.536,0.562,103.028,10.053,68.498,96.459
"MLR","SOURCE_EUI",4,"meanCent",882,31,31,0.244,0.217,15555.388,124.721,75.605,0.562,103.058,10.056,68.517,96.487
"MLR","SOURCE_EUI",5,"meanCent",882,32,32,0.245,0.217,15584.649,124.838,75.612,0.563,103.155,10.065,68.582,96.577
"MLR","SOURCE_ENERGY",2,"meanCent",882,22,22,0.684,0.676,832230748143659,28848409.803,7421791.508,0.858,132.732,3.31,142.46,63.408
"MLR","SOURCE_ENERGY",3,"meanCent",882,42,42,0.704,0.689,777153234203857,27877468.217,7460930.945,1.039,128.264,3.199,137.666,61.274
"MLR","SOURCE_ENERGY",4,"meanCent",882,57,57,0.723,0.704,703820512990852,26529615.772,6967648.464,0.952,122.063,3.044,131.01,58.311
"MLR","SOURCE_ENERGY",5,"meanCent",882,63,63,0.725,0.705,704625258627510,26544778.368,6866006.733,0.962,122.133,3.046,131.085,58.344
"MLR","SOURCE_ENERGY",6,"meanCent",882,64,64,0.725,0.704,704618850225541,26544657.659,6865841.488,0.961,122.132,3.046,131.084,58.344
"XGBd1","SOURCE_EUI",1,"None",882,5,5,0.25,0.247,14835.734,121.802,73.639,0.543,100.646,9.82,66.914,94.229
"XGBd2","SOURCE_EUI",2,"None",882,5,5,0.601,0.599,11366.735,106.615,63.407,0.458,88.097,8.596,58.571,82.48
"XGBd3","SOURCE_EUI",3,"None",882,5,5,0.845,0.844,7138.016,84.487,48.384,0.341,69.812,6.812,46.414,65.361
"XGBg1","SOURCE_EUI",1,"None",882,5,5,0.253,0.25,15313.098,123.746,75.849,0.553,102.253,9.977,67.982,95.733
"XGBg2","SOURCE_EUI",2,"None",882,5,5,0.2,0.196,15536.629,124.646,74.713,0.532,102.996,10.05,68.476,96.429
"XGBg3","SOURCE_EUI",3,"None",882,5,5,0.359,0.356,13369.087,115.625,69.675,0.51,95.542,9.322,63.52,89.45
"XGBa1","SOURCE_EUI",1,"None",882,5,5,0.7,0.699,8590.282,92.684,58.027,0.418,76.586,7.473,50.917,71.702
"XGBa2","SOURCE_EUI",2,"None",882,5,5,0.84,0.839,7836.697,88.525,49.454,0.346,73.149,7.137,48.633,68.485
"XGBa3","SOURCE_EUI",3,"None",882,5,5,0.999,0.999,195.459,13.981,7.418,0.051,11.553,1.127,7.681,10.816
"XGBr1","SOURCE_EUI",1,"None",882,5,5,1,1,0.151,0.388,0.05,0,0.321,0.031,0.213,0.3
"XGBr2","SOURCE_EUI",2,"None",882,5,5,0.239,0.235,14637.051,120.984,72.808,0.535,99.97,9.754,66.464,93.596
"XGBr3","SOURCE_EUI",3,"None",882,5,5,0.95,0.95,2814.409,53.051,32.735,0.231,43.837,4.277,29.144,41.041
"XGBd1","SOURCE_ENERGY",1,"None",882,6,6,0.69,0.688,838188740110066,28951489.428,7747799.72,0.772,133.206,3.322,142.97,63.634
"XGBd2","SOURCE_ENERGY",2,"None",882,6,6,0.925,0.924,161928329673927,12725106.274,4972673.475,0.651,58.548,1.46,62.84,27.969
"XGBd3","SOURCE_ENERGY",3,"None",882,6,6,0.982,0.982,33301923779169.9,5770781.904,2729109.618,0.481,26.551,0.662,28.498,12.684
"XGBg1","SOURCE_ENERGY",1,"None",882,5,5,0.609,0.607,943966606004571,30724039.546,8081383.188,1.434,141.362,3.525,151.723,67.53
"XGBg2","SOURCE_ENERGY",2,"None",882,5,5,0.807,0.806,334804620944161,18297667.09,6551068.425,1.088,84.188,2.099,90.358,40.218
"XGBg3","SOURCE_ENERGY",3,"None",882,6,6,0.873,0.872,232648508430680,15252819.688,6053778.596,0.8,70.178,1.75,75.322,33.525
"XGBa1","SOURCE_ENERGY",1,"None",882,6,6,0.995,0.995,22606762928533.1,4754656.973,1590267.461,0.49,21.876,0.546,23.48,10.451
"XGBa2","SOURCE_ENERGY",2,"None",882,6,6,0.902,0.901,201284512535246,14187477.314,5662406.048,1.049,65.277,1.628,70.061,31.183
"XGBa3","SOURCE_ENERGY",3,"None",882,6,6,0.885,0.885,213272808222423,14603862.784,5794469.856,0.798,67.192,1.676,72.117,32.099
"XGBr1","SOURCE_ENERGY",1,"None",882,6,6,1,1,275724491436.26,525094.745,54014.651,0.012,2.416,0.06,2.593,1.154
"XGBr2","SOURCE_ENERGY",2,"None",882,6,6,0.979,0.979,38466270233931.2,6202118.205,2895028.48,0.801,28.536,0.712,30.628,13.632
"XGBr3","SOURCE_ENERGY",3,"None",882,6,6,0.995,0.995,27511084632802.7,5245101.013,1513824.878,0.357,24.133,0.602,25.902,11.529
