"model","dependent","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean","nrmse_sd"
"MLR","SOURCE_EUI",1,"meanCent",321,6,6,0.237,0.224,1297.766,36.025,27.787,0.252,71.337,14.77,27.459,89.453
"MLR","SOURCE_ENERGY",1,"meanCent",321,7,7,0.916,0.914,61091362687630.2,7816096.384,4254972.703,0.304,55.885,5.368,43.669,38.404
"MLR","SOURCE_EUI",2,"meanCent",321,16,16,0.306,0.272,1206.474,34.734,26.959,0.247,68.78,14.241,26.475,86.248
"MLR","SOURCE_EUI",3,"meanCent",321,26,26,0.355,0.301,1162.95,34.102,26.707,0.244,67.529,13.982,25.993,84.678
"MLR","SOURCE_EUI",4,"meanCent",321,31,31,0.379,0.314,1148.714,33.893,26.248,0.241,67.115,13.896,25.834,84.159
"MLR","SOURCE_EUI",5,"meanCent",321,32,32,0.385,0.319,1167.023,34.162,26.334,0.242,67.648,14.007,26.039,84.827
"MLR","SOURCE_ENERGY",2,"meanCent",321,22,22,0.941,0.937,44661164677011.5,6682900.918,3719683.737,0.259,47.782,4.59,37.338,32.836
"MLR","SOURCE_ENERGY",3,"meanCent",321,42,42,0.948,0.941,41159988837547.8,6415605.103,3564359.301,0.254,45.871,4.406,35.845,31.523
"MLR","SOURCE_ENERGY",4,"meanCent",321,57,57,0.958,0.949,39823233048144.6,6310565.192,3382279.886,0.232,45.12,4.334,35.258,31.007
"MLR","SOURCE_ENERGY",5,"meanCent",321,63,63,0.961,0.952,35701357507841,5975061.297,3227145.833,0.221,42.721,4.104,33.383,29.358
"MLR","SOURCE_ENERGY",6,"meanCent",321,64,64,0.961,0.952,35515573086715.1,5959494.365,3220897.173,0.221,42.61,4.093,33.296,29.282
"XGBd1","SOURCE_EUI",1,"None",321,5,5,0.376,0.369,1061.271,32.577,24.851,0.229,64.509,13.357,24.831,80.892
"XGBd2","SOURCE_EUI",2,"None",321,5,5,0.752,0.749,652.782,25.55,18.138,0.164,50.594,10.476,19.474,63.443
"XGBd3","SOURCE_EUI",3,"None",321,5,5,0.918,0.917,389.02,19.724,12.337,0.111,39.057,8.087,15.034,48.976
"XGBg1","SOURCE_EUI",1,"None",321,5,5,0.263,0.253,1162.587,34.097,26.182,0.244,67.519,13.98,25.989,84.666
"XGBg2","SOURCE_EUI",2,"None",321,5,5,0.474,0.467,924.66,30.408,23.194,0.212,60.214,12.467,23.177,75.506
"XGBg3","SOURCE_EUI",3,"None",321,5,5,0.452,0.445,935.563,30.587,23.62,0.21,60.568,12.541,23.314,75.95
"XGBa1","SOURCE_EUI",1,"None",321,5,5,0.612,0.607,856.412,29.265,21.91,0.197,57.95,11.999,22.306,72.668
"XGBa2","SOURCE_EUI",2,"None",321,5,5,0.524,0.518,953.626,30.881,23.477,0.214,61.15,12.661,23.538,76.68
"XGBa3","SOURCE_EUI",3,"None",321,5,5,0.857,0.855,321.558,17.932,12.792,0.11,35.509,7.352,13.668,44.527
"XGBr1","SOURCE_EUI",1,"None",321,5,5,0.976,0.975,150.136,12.253,6.821,0.059,24.263,5.024,9.339,30.425
"XGBr2","SOURCE_EUI",2,"None",321,5,5,0.993,0.993,52.151,7.222,1.061,0.009,14.301,2.961,5.505,17.933
"XGBr3","SOURCE_EUI",3,"None",321,5,5,0.78,0.777,654.469,25.583,17.547,0.157,50.659,10.489,19.5,63.525
"XGBd1","SOURCE_ENERGY",1,"None",321,6,6,0.942,0.941,49089202994453.7,7006368.745,3587278.041,0.244,50.095,4.812,39.145,34.425
"XGBd2","SOURCE_ENERGY",2,"None",321,6,6,0.987,0.986,12778367039399.2,3574684.187,1897775.006,0.144,25.559,2.455,19.972,17.564
"XGBd3","SOURCE_ENERGY",3,"None",321,6,6,0.997,0.997,3415948230032.69,1848228.403,1058740.24,0.083,13.215,1.269,10.326,9.081
"XGBg1","SOURCE_ENERGY",1,"None",321,6,6,0.949,0.948,40701984224626.1,6379810.673,3600831.058,0.286,45.615,4.382,35.645,31.347
"XGBg2","SOURCE_ENERGY",2,"None",321,6,6,0.981,0.981,17903837553697.6,4231292.658,2234704.007,0.175,30.254,2.906,23.641,20.79
"XGBg3","SOURCE_ENERGY",3,"None",321,6,6,0.993,0.993,6886940248171.87,2624298.049,1485192.458,0.111,18.764,1.802,14.662,12.894
"XGBa1","SOURCE_ENERGY",1,"None",321,6,6,0.981,0.981,15521945872114.5,3939790.08,2378370.324,0.188,28.169,2.706,22.012,19.358
"XGBa2","SOURCE_ENERGY",2,"None",321,6,6,1,1,18.291,4.277,2.507,0,0,0,0,0
"XGBa3","SOURCE_ENERGY",3,"None",321,6,6,1,1,7562754501.695,86964.099,53092.138,0.005,0.622,0.06,0.486,0.427
"XGBr1","SOURCE_ENERGY",1,"None",321,6,6,1,1,10.881,3.299,2.136,0,0,0,0,0
"XGBr2","SOURCE_ENERGY",2,"None",321,6,6,0.998,0.998,1249853257073.72,1117968.361,699053.898,0.055,7.993,0.768,6.246,5.493
"XGBr3","SOURCE_ENERGY",3,"None",321,6,6,1,1,361227648311.716,601022.17,382370.109,0.03,4.297,0.413,3.358,2.953
