"model","dependent","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean","nrmse_sd"
"MLR","SOURCE_EUI",1,"meanCent",404,6,6,0.362,0.354,3287.568,57.337,37.043,1.025,92.163,12.222,76.471,86.51
"MLR","SOURCE_ENERGY",1,"meanCent",404,7,7,0.51,0.502,149596804532769,12230977.252,5951650.641,2.07,140.289,8.564,141.96,73.879
"MLR","SOURCE_EUI",2,"meanCent",404,16,16,0.44,0.418,2956.825,54.377,36.162,0.977,87.405,11.591,72.523,82.044
"MLR","SOURCE_EUI",3,"meanCent",404,26,26,0.475,0.44,2956.973,54.378,35.776,0.953,87.407,11.591,72.525,82.045
"MLR","SOURCE_EUI",4,"meanCent",404,31,31,0.48,0.439,3005.242,54.82,35.816,0.972,88.117,11.686,73.114,82.712
"MLR","SOURCE_EUI",5,"meanCent",404,32,32,0.48,0.437,3006.293,54.83,35.826,0.972,88.133,11.688,73.127,82.727
"MLR","SOURCE_ENERGY",2,"meanCent",404,22,22,0.715,0.699,102023555237797,10100671.029,4497670.365,1.411,115.854,7.072,117.234,61.011
"MLR","SOURCE_ENERGY",3,"meanCent",404,42,42,0.81,0.789,78836901793465.7,8879014.686,4054082.54,1.028,101.842,6.217,103.055,53.632
"MLR","SOURCE_ENERGY",4,"meanCent",404,57,57,0.846,0.821,72476296306298.8,8513301.14,3786385.203,0.975,97.647,5.961,98.81,51.423
"MLR","SOURCE_ENERGY",5,"meanCent",404,63,63,0.851,0.824,72093537578400,8490791.34,3806018.981,0.94,97.389,5.945,98.549,51.287
"MLR","SOURCE_ENERGY",6,"meanCent",404,64,64,0.852,0.825,72657725267180.2,8523950.098,3815728.765,0.934,97.769,5.968,98.934,51.487
"XGBd1","SOURCE_EUI",1,"None",404,5,5,0.465,0.459,3073.895,55.443,35.551,0.974,89.119,11.819,73.945,83.652
"XGBd2","SOURCE_EUI",2,"None",404,5,5,0.826,0.824,1717.801,41.446,24.915,0.668,66.62,8.835,55.277,62.533
"XGBd3","SOURCE_EUI",3,"None",404,5,5,0.961,0.961,546.776,23.383,14.259,0.406,37.586,4.984,31.186,35.28
"XGBg1","SOURCE_EUI",1,"None",404,5,5,0.374,0.368,3264.88,57.139,37.142,1.094,91.845,12.18,76.207,86.211
"XGBg2","SOURCE_EUI",2,"None",404,5,5,0.478,0.473,2774.557,52.674,33.486,0.939,84.668,11.228,70.252,79.474
"XGBg3","SOURCE_EUI",3,"None",404,5,5,0.556,0.552,2178.476,46.674,30.853,0.854,75.024,9.949,62.25,70.421
"XGBa1","SOURCE_EUI",1,"None",404,5,5,0.766,0.764,1694.498,41.164,27.764,0.808,66.167,8.775,54.901,62.108
"XGBa2","SOURCE_EUI",2,"None",404,5,5,1,1,0.017,0.131,0.078,0.002,0.211,0.028,0.175,0.198
"XGBa3","SOURCE_EUI",3,"None",404,5,5,0.885,0.884,890.311,29.838,20.142,0.575,47.961,6.36,39.795,45.019
"XGBr1","SOURCE_EUI",1,"None",404,5,5,1,1,0.008,0.087,0.045,0.001,0.14,0.019,0.116,0.131
"XGBr2","SOURCE_EUI",2,"None",404,5,5,0.949,0.948,381.554,19.533,12.952,0.375,31.397,4.164,26.051,29.471
"XGBr3","SOURCE_EUI",3,"None",404,5,5,1,1,0.022,0.147,0.086,0.002,0.236,0.031,0.196,0.222
"XGBd1","SOURCE_ENERGY",1,"None",404,5,5,0.644,0.641,104829362457872,10238621.121,5013635.919,1.38,117.437,7.169,118.836,61.844
"XGBd2","SOURCE_ENERGY",2,"None",404,6,6,0.96,0.96,19496657213174.4,4415501.921,2266657.125,0.725,50.646,3.092,51.249,26.671
"XGBd3","SOURCE_ENERGY",3,"None",404,6,6,0.995,0.995,2390148239383.04,1546010.427,838758.384,0.337,17.733,1.083,17.944,9.338
"XGBg1","SOURCE_ENERGY",1,"None",404,4,4,0.414,0.409,142069814233286,11919304.268,5444107.59,1.677,136.714,8.346,138.343,71.996
"XGBg2","SOURCE_ENERGY",2,"None",404,6,6,0.885,0.884,52557148307529.7,7249630.908,3473354.667,1.004,83.153,5.076,84.144,43.79
"XGBg3","SOURCE_ENERGY",3,"None",404,6,6,0.914,0.913,33338149624024.5,5773919.78,2944378.833,0.864,66.227,4.043,67.016,34.876
"XGBa1","SOURCE_ENERGY",1,"None",404,6,6,1,1,10918542902.109,104491.832,61305.357,0.035,1.199,0.073,1.213,0.631
"XGBa2","SOURCE_ENERGY",2,"None",404,6,6,0.994,0.994,2748173665018.21,1657761.643,886783.471,0.343,19.014,1.161,19.241,10.013
"XGBa3","SOURCE_ENERGY",3,"None",404,6,6,0.993,0.993,1663745605465.9,1289862.63,842614.037,0.474,14.795,0.903,14.971,7.791
"XGBr1","SOURCE_ENERGY",1,"None",404,6,6,0.988,0.988,4266726997696.4,2065605.722,1145546.014,0.385,23.692,1.446,23.975,12.477
"XGBr2","SOURCE_ENERGY",2,"None",404,6,6,0.999,0.999,888764846508.591,942743.256,401515.321,0.149,10.813,0.66,10.942,5.694
"XGBr3","SOURCE_ENERGY",3,"None",404,6,6,1,1,26.923,5.189,3.071,0,0,0,0,0
