"model","dependent","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean","nrmse_sd"
"MLR","SOURCE_EUI",1,"meanCent",327,7,7,0.157,0.141,1619.832,40.247,31.896,0.331,74.222,18.987,35.075,94.142
"MLR","SOURCE_ENERGY",1,"meanCent",327,7,7,0.301,0.288,134474326360454,11596306.583,6835185.379,0.994,98.802,12.156,87.043,86.04
"MLRi2","SOURCE_EUI",2,"meanCent",327,22,22,0.212,0.158,1609.821,40.123,32.079,0.324,73.994,18.929,34.967,93.852
"MLRi3","SOURCE_EUI",3,"meanCent",327,42,42,0.301,0.201,1558.871,39.483,31.516,0.32,72.813,18.627,34.409,92.355
"MLRi4","SOURCE_EUI",4,"meanCent",327,57,57,0.397,0.272,1413.994,37.603,29.189,0.296,69.346,17.74,32.77,87.957
"MLRi5","SOURCE_EUI",5,"meanCent",327,63,63,0.416,0.279,1388.745,37.266,28.547,0.29,68.725,17.581,32.477,87.169
"MLRi6","SOURCE_EUI",6,"meanCent",327,64,64,0.427,0.29,1372.966,37.054,28.003,0.284,68.334,17.481,32.292,86.673
"MLRi2","SOURCE_ENERGY",2,"meanCent",327,22,22,0.459,0.422,109794844074701,10478303.492,6186774.436,0.728,89.276,10.984,78.651,77.745
"MLRi3","SOURCE_ENERGY",3,"meanCent",327,42,42,0.528,0.46,98304302488415.1,9914852.621,5944744.049,0.65,84.476,10.394,74.422,73.564
"MLRi4","SOURCE_ENERGY",4,"meanCent",327,57,57,0.585,0.499,94183471760746.1,9704816.936,5646420.949,0.589,82.686,10.173,72.845,72.006
"MLRi5","SOURCE_ENERGY",5,"meanCent",327,63,63,0.593,0.497,92629400465822.6,9624416.89,5522105.232,0.564,82.001,10.089,72.242,71.409
"MLRi6","SOURCE_ENERGY",6,"meanCent",327,64,64,0.594,0.497,92562529849835.3,9620942.254,5491283.913,0.554,81.971,10.085,72.216,71.384
