"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",68,28,28,0.418,0.025,1790.915,42.319,31.011,0.23
"R21","C1",1,"Reg","SiteEnergyUse",68,28,28,0.955,0.924,8485187294282.94,2912934.482,1957206.311,0.375
"R28","C2",2,"RegInt","SourceEUI",68,68,303,1,NA,0,0,0,0
"R217","C2",2,"RegInt","SiteEnergyUse",68,68,303,1,NA,0,0,0,0
"R22","C2",3,"RegInt","SourceEUI",68,68,1702,1,NA,0,0,0,0
"R211","C2",3,"RegInt","SiteEnergyUse",68,68,1702,1,NA,0,0,0,0
"R23","C2",4,"RegInt","SourceEUI",68,68,5647,1,NA,0,0,0,0
"R212","C2",4,"RegInt","SiteEnergyUse",68,68,5647,1,NA,0,0,0,0
"R24","C2",5,"RegInt","SourceEUI",68,68,12048,1,NA,0,0,0,0
"R213","C2",5,"RegInt","SiteEnergyUse",68,68,12048,1,NA,0,0,0,0
"R25","C2",6,"RegInt","SourceEUI",68,68,17985,1,NA,0,0,0,0
"R214","C2",6,"RegInt","SiteEnergyUse",68,68,17985,1,NA,0,0,0,0
"R26","C2",7,"RegInt","SourceEUI",68,68,20910,1,NA,0,0,0,0
"R215","C2",7,"RegInt","SiteEnergyUse",68,68,20910,1,NA,0,0,0,0
"R27","C2",8,"RegInt","SourceEUI",68,68,21504,1,NA,0,0,0,0
"R216","C2",8,"RegInt","SiteEnergyUse",68,68,21504,1,NA,0,0,0,0
"R29","C3a",1,"rpart","SourceEUI",68,7,7,0.298,0.229,2160.078,46.477,33.518,0.245
"R218","C3a",1,"rpart","SiteEnergyUse",68,5,5,0.645,0.623,66536004111356.6,8156960.47,4296987.696,0.622
"R210","C3b",1,"xgboost","SourceEUI",68,27,27,0.623,0.383,732.347,27.062,19.501,0.129
"R219","E3b",1,"xgboost","SiteEnergyUse",68,28,28,1,1,29868510.962,5465.209,3886.834,0.001
