"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",144,27,28,0.189,0.009,2863.227,53.509,38.107,0.855
"R21","C1",1,"Reg","SiteEnergyUse",144,27,28,0.315,0.163,2184653560456.07,1478057.36,990694.064,1.106
"R28","C2",2,"RegInt","SourceEUI",144,74,296,0.729,0.446,958.099,30.953,18.8,0.418
"R217","C2",2,"RegInt","SiteEnergyUse",144,74,296,0.833,0.659,532603208303.305,729796.69,432992.746,0.578
"R22","C2",3,"RegInt","SourceEUI",144,80,1614,0.784,0.518,762.399,27.612,16.118,0.344
"R211","C2",3,"RegInt","SiteEnergyUse",144,80,1614,0.847,0.657,489267530092.666,699476.612,401173.834,0.492
"R23","C2",4,"RegInt","SourceEUI",144,80,5191,0.784,0.518,762.399,27.612,16.118,0.344
"R212","C2",4,"RegInt","SiteEnergyUse",144,80,5191,0.847,0.657,489267530092.666,699476.612,401173.834,0.492
"R24","C2",5,"RegInt","SourceEUI",144,80,10790,0.784,0.518,762.399,27.612,16.118,0.344
"R213","C2",5,"RegInt","SiteEnergyUse",144,80,10790,0.847,0.657,489267530092.666,699476.612,401173.834,0.492
"R25","C2",6,"RegInt","SourceEUI",144,80,15824,0.784,0.518,762.399,27.612,16.118,0.344
"R214","C2",6,"RegInt","SiteEnergyUse",144,80,15824,0.847,0.657,489267530092.666,699476.612,401173.834,0.492
"R26","C2",7,"RegInt","SourceEUI",144,80,18240,0.784,0.518,762.399,27.612,16.118,0.344
"R215","C2",7,"RegInt","SiteEnergyUse",144,80,18240,0.847,0.657,489267530092.666,699476.612,401173.834,0.492
"R27","C2",8,"RegInt","SourceEUI",144,80,18720,0.784,0.518,762.399,27.612,16.118,0.344
"R216","C2",8,"RegInt","SiteEnergyUse",144,80,18720,0.847,0.657,489267530092.666,699476.612,401173.834,0.492
"R29","C3a",1,"rpart","SourceEUI",144,6,6,0.138,0.107,3045.727,55.188,39.702,0.942
"R218","C3a",1,"rpart","SiteEnergyUse",144,6,6,0.266,0.24,2339665028152.78,1529596.361,991623.831,1.057
"R210","C3b",1,"xgboost","SourceEUI",144,20,20,0.198,0.075,1893.398,43.513,29.311,0.608
"R219","E3b",1,"xgboost","SiteEnergyUse",144,20,20,0.375,0.279,1288178618322.94,1134979.567,733536.328,0.782
