"","btype","X","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"1","school","R2","C1",1,"Reg","SourceEUI",122,29,29,0.434,0.263,417.165,20.425,14.402,0.189
"2","school","R21","C1",1,"Reg","SiteEnergyUse",122,29,29,0.906,0.878,621211155994.189,788169.497,521135.357,0.253
"3","school","R28","C2",2,"RegInt","SourceEUI",122,85,320,0.842,0.485,116.086,10.774,5.134,0.08
"4","school","R217","C2",2,"RegInt","SiteEnergyUse",122,85,320,0.961,0.872,258737312594.892,508662.278,227789.341,0.151
"5","school","R22","C2",3,"RegInt","SourceEUI",122,98,1818,0.893,0.459,78.992,8.888,3.379,0.058
"6","school","R211","C2",3,"RegInt","SiteEnergyUse",122,98,1818,0.977,0.882,155197847533.481,393951.58,147709.496,0.092
"7","school","R23","C2",4,"RegInt","SourceEUI",122,99,6073,0.898,0.466,74.836,8.651,3.108,0.055
"8","school","R212","C2",4,"RegInt","SiteEnergyUse",122,99,6073,0.983,0.909,114615735709.034,338549.458,130131.342,0.096
"9","school","R24","C2",5,"RegInt","SourceEUI",122,99,13009,0.898,0.466,74.836,8.651,3.108,0.055
"10","school","R213","C2",5,"RegInt","SiteEnergyUse",122,99,13009,0.983,0.909,114615735709.034,338549.458,130131.342,0.096
"11","school","R25","C2",6,"RegInt","SourceEUI",122,99,19462,0.898,0.466,74.836,8.651,3.108,0.055
"12","school","R214","C2",6,"RegInt","SiteEnergyUse",122,99,19462,0.983,0.909,114615735709.034,338549.458,130131.342,0.096
"13","school","R26","C2",7,"RegInt","SourceEUI",122,99,22648,0.898,0.466,74.836,8.651,3.108,0.055
"14","school","R215","C2",7,"RegInt","SiteEnergyUse",122,99,22648,0.983,0.909,114615735709.034,338549.458,130131.342,0.096
"15","school","R27","C2",8,"RegInt","SourceEUI",122,99,23296,0.898,0.466,74.836,8.651,3.108,0.055
"16","school","R216","C2",8,"RegInt","SiteEnergyUse",122,99,23296,0.983,0.909,114615735709.034,338549.458,130131.342,0.096
"17","school","R29","C3a",1,"rpart","SourceEUI",122,0,0,0,0.008,736.689,27.142,18.403,0.249
"18","school","R218","C3a",1,"rpart","SiteEnergyUse",122,6,6,0.789,0.78,1399064092524.82,1182820.397,797099.328,0.405
"19","school","R210","C3b",1,"xgboost","SourceEUI",122,22,22,0.329,0.188,311.028,17.636,11.975,0.157
"20","school","R219","E3b",1,"xgboost","SiteEnergyUse",122,22,22,0.961,0.953,236197295681.769,486001.333,342025.706,0.212
"21","office","R2","C1",1,"Reg","SourceEUI",375,31,31,0.182,0.111,8894.827,94.312,60.278,0.567
"22","office","R21","C1",1,"Reg","SiteEnergyUse",375,31,31,0.767,0.747,18235799340349.4,4270339.488,2384238.784,0.584
"23","office","R28","C2",2,"RegInt","SourceEUI",375,166,354,0.645,0.366,3855.789,62.095,39.956,0.292
"24","office","R217","C2",2,"RegInt","SiteEnergyUse",375,166,354,0.913,0.845,6765496682041.01,2601056.839,1559226.727,0.402
"25","office","R22","C2",3,"RegInt","SourceEUI",375,288,2050,0.939,0.74,658.211,25.656,14.247,0.105
"26","office","R211","C2",3,"RegInt","SiteEnergyUse",375,288,2050,0.983,0.925,1364472287292.01,1168106.283,573850.89,0.155
"27","office","R23","C2",4,"RegInt","SourceEUI",375,320,6925,0.973,0.819,289.435,17.013,7.224,0.055
"28","office","R212","C2",4,"RegInt","SiteEnergyUse",375,320,6925,0.996,0.974,295134346498.154,543262.686,215980.435,0.07
"29","office","R24","C2",5,"RegInt","SourceEUI",375,322,14931,0.975,0.822,273.805,16.547,7.069,0.053
"30","office","R213","C2",5,"RegInt","SiteEnergyUse",375,322,14931,0.996,0.974,288245055281.069,536884.583,212273.009,0.071
"31","office","R25","C2",6,"RegInt","SourceEUI",375,322,22416,0.975,0.822,273.805,16.547,7.069,0.053
"32","office","R214","C2",6,"RegInt","SiteEnergyUse",375,322,22416,0.996,0.974,288245055281.069,536884.583,212273.009,0.071
"33","office","R26","C2",7,"RegInt","SourceEUI",375,322,26124,0.975,0.822,273.805,16.547,7.069,0.053
"34","office","R215","C2",7,"RegInt","SiteEnergyUse",375,322,26124,0.996,0.974,288245055281.069,536884.583,212273.009,0.071
"35","office","R27","C2",8,"RegInt","SourceEUI",375,322,26880,0.975,0.822,273.805,16.547,7.069,0.053
"36","office","R216","C2",8,"RegInt","SiteEnergyUse",375,322,26880,0.996,0.974,288245055281.069,536884.583,212273.009,0.071
"37","office","R29","C3a",1,"rpart","SourceEUI",375,7,7,0.238,0.226,8285.501,91.025,59.19,0.61
"38","office","R218","C3a",1,"rpart","SiteEnergyUse",375,7,7,0.756,0.752,19107066406848.6,4371163.05,2487047.675,0.635
"39","office","R210","C3b",1,"xgboost","SourceEUI",375,31,31,0.535,0.495,3029.978,55.045,34.711,0.324
"40","office","R219","E3b",1,"xgboost","SiteEnergyUse",375,26,26,0.848,0.837,9647338539877.23,3106016.507,1806434.713,0.477
"41","hotel","R2","C1",1,"Reg","SourceEUI",68,28,28,0.418,0.025,1790.915,42.319,31.011,0.23
"42","hotel","R21","C1",1,"Reg","SiteEnergyUse",68,28,28,0.955,0.924,8485187294282.94,2912934.482,1957206.311,0.375
"43","hotel","R28","C2",2,"RegInt","SourceEUI",68,68,303,1,NA,0,0,0,0
"44","hotel","R217","C2",2,"RegInt","SiteEnergyUse",68,68,303,1,NA,0,0,0,0
"45","hotel","R22","C2",3,"RegInt","SourceEUI",68,68,1702,1,NA,0,0,0,0
"46","hotel","R211","C2",3,"RegInt","SiteEnergyUse",68,68,1702,1,NA,0,0,0,0
"47","hotel","R23","C2",4,"RegInt","SourceEUI",68,68,5647,1,NA,0,0,0,0
"48","hotel","R212","C2",4,"RegInt","SiteEnergyUse",68,68,5647,1,NA,0,0,0,0
"49","hotel","R24","C2",5,"RegInt","SourceEUI",68,68,12048,1,NA,0,0,0,0
"50","hotel","R213","C2",5,"RegInt","SiteEnergyUse",68,68,12048,1,NA,0,0,0,0
"51","hotel","R25","C2",6,"RegInt","SourceEUI",68,68,17985,1,NA,0,0,0,0
"52","hotel","R214","C2",6,"RegInt","SiteEnergyUse",68,68,17985,1,NA,0,0,0,0
"53","hotel","R26","C2",7,"RegInt","SourceEUI",68,68,20910,1,NA,0,0,0,0
"54","hotel","R215","C2",7,"RegInt","SiteEnergyUse",68,68,20910,1,NA,0,0,0,0
"55","hotel","R27","C2",8,"RegInt","SourceEUI",68,68,21504,1,NA,0,0,0,0
"56","hotel","R216","C2",8,"RegInt","SiteEnergyUse",68,68,21504,1,NA,0,0,0,0
"57","hotel","R29","C3a",1,"rpart","SourceEUI",68,7,7,0.298,0.229,2160.078,46.477,33.518,0.245
"58","hotel","R218","C3a",1,"rpart","SiteEnergyUse",68,5,5,0.645,0.623,66536004111356.6,8156960.47,4296987.696,0.622
"59","hotel","R210","C3b",1,"xgboost","SourceEUI",68,27,27,0.623,0.383,732.347,27.062,19.501,0.129
"60","hotel","R219","E3b",1,"xgboost","SiteEnergyUse",68,28,28,1,1,29868510.962,5465.209,3886.834,0.001
"61","worship","R2","C1",1,"Reg","SourceEUI",63,22,23,0.334,-0.007,487.106,22.07,15.431,0.372
"62","worship","R21","C1",1,"Reg","SiteEnergyUse",63,22,23,0.876,0.813,123259548766.019,351083.393,267007.512,0.53
"63","worship","R28","C2",2,"RegInt","SourceEUI",63,57,205,0.929,0.262,52.23,7.227,3.441,0.072
"64","worship","R217","C2",2,"RegInt","SiteEnergyUse",63,57,205,0.99,0.892,10402122189.738,101990.795,46899.52,0.085
