"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",375,31,31,0.182,0.111,8894.827,94.312,60.278,0.567
"R21","C1",1,"Reg","SiteEnergyUse",375,31,31,0.767,0.747,18235799340349.4,4270339.488,2384238.784,0.584
"R28","C2",2,"RegInt","SourceEUI",375,166,354,0.645,0.366,3855.789,62.095,39.956,0.292
"R217","C2",2,"RegInt","SiteEnergyUse",375,166,354,0.913,0.845,6765496682041.01,2601056.839,1559226.727,0.402
"R22","C2",3,"RegInt","SourceEUI",375,288,2050,0.939,0.74,658.211,25.656,14.247,0.105
"R211","C2",3,"RegInt","SiteEnergyUse",375,288,2050,0.983,0.925,1364472287292.01,1168106.283,573850.89,0.155
"R23","C2",4,"RegInt","SourceEUI",375,320,6925,0.973,0.819,289.435,17.013,7.224,0.055
"R212","C2",4,"RegInt","SiteEnergyUse",375,320,6925,0.996,0.974,295134346498.154,543262.686,215980.435,0.07
"R24","C2",5,"RegInt","SourceEUI",375,322,14931,0.975,0.822,273.805,16.547,7.069,0.053
"R213","C2",5,"RegInt","SiteEnergyUse",375,322,14931,0.996,0.974,288245055281.069,536884.583,212273.009,0.071
"R25","C2",6,"RegInt","SourceEUI",375,322,22416,0.975,0.822,273.805,16.547,7.069,0.053
"R214","C2",6,"RegInt","SiteEnergyUse",375,322,22416,0.996,0.974,288245055281.069,536884.583,212273.009,0.071
"R26","C2",7,"RegInt","SourceEUI",375,322,26124,0.975,0.822,273.805,16.547,7.069,0.053
"R215","C2",7,"RegInt","SiteEnergyUse",375,322,26124,0.996,0.974,288245055281.069,536884.583,212273.009,0.071
"R27","C2",8,"RegInt","SourceEUI",375,322,26880,0.975,0.822,273.805,16.547,7.069,0.053
"R216","C2",8,"RegInt","SiteEnergyUse",375,322,26880,0.996,0.974,288245055281.069,536884.583,212273.009,0.071
"R29","C3a",1,"rpart","SourceEUI",375,7,7,0.238,0.226,8285.501,91.025,59.19,0.61
"R218","C3a",1,"rpart","SiteEnergyUse",375,7,7,0.756,0.752,19107066406848.6,4371163.05,2487047.675,0.635
"R210","C3b",1,"xgboost","SourceEUI",375,31,31,0.535,0.495,3029.978,55.045,34.711,0.324
"R219","E3b",1,"xgboost","SiteEnergyUse",375,26,26,0.848,0.837,9647338539877.23,3106016.507,1806434.713,0.477
