"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",105,25,26,0.376,0.189,34950.623,186.951,140.235,1.183
"R21","C1",1,"Reg","SiteEnergyUse",105,25,26,0.702,0.613,12097484786399.9,3478143.871,2788680.319,1.271
"R28","C2",2,"RegInt","SourceEUI",105,81,259,0.764,-0.022,13201.611,114.898,56.769,0.69
"R217","C2",2,"RegInt","SiteEnergyUse",105,81,259,0.926,0.678,3013645020708.8,1735985.317,876223.976,0.689
"R22","C2",3,"RegInt","SourceEUI",105,88,1360,0.796,-0.248,11420.742,106.868,50.34,0.527
"R211","C2",3,"RegInt","SiteEnergyUse",105,88,1360,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446
"R23","C2",4,"RegInt","SourceEUI",105,88,4295,0.796,-0.248,11420.742,106.868,50.34,0.527
"R212","C2",4,"RegInt","SiteEnergyUse",105,88,4295,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446
"R24","C2",5,"RegInt","SourceEUI",105,88,8866,0.796,-0.248,11420.742,106.868,50.34,0.527
"R213","C2",5,"RegInt","SiteEnergyUse",105,88,8866,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446
"R25","C2",6,"RegInt","SourceEUI",105,88,12981,0.796,-0.248,11420.742,106.868,50.34,0.527
"R214","C2",6,"RegInt","SiteEnergyUse",105,88,12981,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446
"R26","C2",7,"RegInt","SourceEUI",105,88,14964,0.796,-0.248,11420.742,106.868,50.34,0.527
"R215","C2",7,"RegInt","SiteEnergyUse",105,88,14964,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446
"R27","C2",8,"RegInt","SourceEUI",105,88,15360,0.796,-0.248,11420.742,106.868,50.34,0.527
"R216","C2",8,"RegInt","SiteEnergyUse",105,88,15360,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446
"R29","C3a",1,"rpart","SourceEUI",105,6,6,0.254,0.217,41747.273,204.321,165.435,1.294
"R218","C3a",1,"rpart","SiteEnergyUse",105,6,6,0.522,0.498,19417217126948.6,4406497.149,3092989.559,1.163
"R210","C3b",1,"xgboost","SourceEUI",105,22,22,0.821,0.775,6751.658,82.168,61.281,0.449
"R219","E3b",1,"xgboost","SiteEnergyUse",105,21,21,0.8,0.752,5850145059175.74,2418707.312,1866350.363,0.967
