"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",122,29,29,0.434,0.263,417.165,20.425,14.402,0.189
"R21","C1",1,"Reg","SiteEnergyUse",122,29,29,0.906,0.878,621211155994.189,788169.497,521135.357,0.253
"R28","C2",2,"RegInt","SourceEUI",122,85,320,0.842,0.485,116.086,10.774,5.134,0.08
"R217","C2",2,"RegInt","SiteEnergyUse",122,85,320,0.961,0.872,258737312594.892,508662.278,227789.341,0.151
"R22","C2",3,"RegInt","SourceEUI",122,98,1818,0.893,0.459,78.992,8.888,3.379,0.058
"R211","C2",3,"RegInt","SiteEnergyUse",122,98,1818,0.977,0.882,155197847533.481,393951.58,147709.496,0.092
"R23","C2",4,"RegInt","SourceEUI",122,99,6073,0.898,0.466,74.836,8.651,3.108,0.055
"R212","C2",4,"RegInt","SiteEnergyUse",122,99,6073,0.983,0.909,114615735709.034,338549.458,130131.342,0.096
"R24","C2",5,"RegInt","SourceEUI",122,99,13009,0.898,0.466,74.836,8.651,3.108,0.055
"R213","C2",5,"RegInt","SiteEnergyUse",122,99,13009,0.983,0.909,114615735709.034,338549.458,130131.342,0.096
"R25","C2",6,"RegInt","SourceEUI",122,99,19462,0.898,0.466,74.836,8.651,3.108,0.055
"R214","C2",6,"RegInt","SiteEnergyUse",122,99,19462,0.983,0.909,114615735709.034,338549.458,130131.342,0.096
"R26","C2",7,"RegInt","SourceEUI",122,99,22648,0.898,0.466,74.836,8.651,3.108,0.055
"R215","C2",7,"RegInt","SiteEnergyUse",122,99,22648,0.983,0.909,114615735709.034,338549.458,130131.342,0.096
"R27","C2",8,"RegInt","SourceEUI",122,99,23296,0.898,0.466,74.836,8.651,3.108,0.055
"R216","C2",8,"RegInt","SiteEnergyUse",122,99,23296,0.983,0.909,114615735709.034,338549.458,130131.342,0.096
"R29","C3a",1,"rpart","SourceEUI",122,0,0,0,0.008,736.689,27.142,18.403,0.249
"R218","C3a",1,"rpart","SiteEnergyUse",122,6,6,0.789,0.78,1399064092524.82,1182820.397,797099.328,0.405
"R210","C3b",1,"xgboost","SourceEUI",122,22,22,0.329,0.188,311.028,17.636,11.975,0.157
"R219","E3b",1,"xgboost","SiteEnergyUse",122,22,22,0.961,0.953,236197295681.769,486001.333,342025.706,0.212
